==== Start of Transcript: Deep Dive Bonus – The Self Value Car ====

Nikki Closser | Hi, everyone. I'm Nikki Closer. I am the host of the deep dives with Sue Bryce. Hi, Sue. Hi.
Sue Bryce | The gratitude just makes it bigger because you really wanted this. It gave joy to create it, not resistance, not pain, not stress. It gave you joy to get it. It gives you joy to have it. And so you receive this and you start to enjoy it, and then you're thankful for it.

Sue Bryce | You appreciate that. That's gratitude. And the heart is attracting in joy in that moment because a heart exploding with joy is a magnet to attracting everything. Self hate does not get in the car. It does not get to speak here.

Sue Bryce | There is no resistance in the creator room. There's no inner monologue. So when you hear that voice of resistance, you're in competition. That's the opposite of creation. So remember, You bring to believe into your car, to believe does not believe my thoughts.

Sue Bryce | They do not because they just think they're dramatic and frightened, and they're just listening to them. Believe also does not believe my feelings, and my feelings are responding to my thoughts believe will challenge my thoughts and my feelings because believe only believes facts. Believe will not stay in the car with self hate. Also, believe or not over inflate your ego because believe truly believes in facts. And in that moment, you have to choose which one's going to stay.

Sue Bryce | Is it self doubt, self hate, or is it to believe? So I always say throughout this workshop, protect the castle. Protect the castle. Now that you know that there are only 3 voices in your car, you can kick all of the other voices out of your car. Self doubt, Self doubt is a narcissist.

Sue Bryce | As soon as you feel self doubt, you've made it about you again, self doubt is that little narcissist that sits in the car and says, that's not my fault. That's everybody else's fault. Meant me. Self doubt is a narcissist. When you feel self doubt, you think that's you being like, oh, no.

Sue Bryce | I think I should maybe back off a little bit. No. Kick self doubt out of your car now. There's one old story that gets in the car. You'll hear about that in the body segment, and that is body story.

Sue Bryce | And body story remembers if free single weight you've ever been at. It remembers every good and bad thing about your body and tells you just like old story. You can kick body story out of the car. And I do joke that if I ever see self hate hitchhiking on the side of the road on a quiet dark road, but for real, Don't let self hate come for your daughters. Don't let self hate hurt your sons.

Sue Bryce | Protect the castle and teach them how to do the same. They do as you do. Not as you say. Show them what self love is. Show them what self respect is, show them what self care is, and then show them how it makes every relationship better because of the relationship that you have with yourself.

Sue Bryce | So when you wanna process my thoughts and my feelings and my fear, When you wanna understand who else has got in the car, the old story, the body story, the self doubt, I want you just to sit quietly for a moment and just take them for a drive. You don't have to question them. You don't have to analyze them. You just need to listen to them. And it's okay.

Sue Bryce | The voices that belong in the car, they're your voices. The other ones can go, but you don't have to believe any of these three people. You can calm them all, but the most mind blowing awakening to me was as soon as I stopped believing them, They stopped talking. You also have acceptance, gratitude, and to believe to support you in this car. But like any support, you have to ask for it and then do the work.

Sue Bryce | So focus. If you don't understand why you're getting something, or why something is showing up the same way every time. Just look at what you're focused on and how you feel about it. So go into the car. Listen to my thoughts and my feelings.

Sue Bryce | And whatever they're saying on repeat in that loop, However, they're reacting. That is what you are focused on. And what you're focused on is what you are attracting more of right now. Oh, now you know you gotta get the quiet in this car as possible because you wanna be driving in alignment. Now being out of alignment means someone else is driving the car and guess what?

Sue Bryce | It's one of those idiots, my thoughts, my feelings, my fear, self doubt, avoidance, or self hate. Well, one of those old stories, I don't think old stories should ever be driving a car. Self a witness will bring you to self acceptance to magic. As soon as you define these narratives, these little monsters in your car, you can learn to silence them. And then it just takes a small step of emotional bravery.

Sue Bryce | In a moment of experiencing an old story or an old emotion you're gonna become so aware of this. You're gonna say, wait a minute. I can step past this old emotional response now. I can form a new boundary in this moment, or I can just wake up and say, I don't wanna feel like this anymore. And I'm done.

Sue Bryce | You can choose to believe a new story at any time. You can choose to reframe your past at any time and tell a new story. Our goal every morning is to process our emotions through the filter of our past and reconnect to our now, power up our lives, power up our personal goals, more connection, more fulfillment, deeper meaning, and you cannot get into alignment until you learn how to master my thoughts and my emotions. You cannot create anything from a place of resistance. The resistance is in your car.

Sue Bryce | Right? I have solid evidence that alignment is just pure magic, and that's when you get my thoughts my feelings connected to my heart, what I really want, and my focus. Because Then I'm in perfect harmony. I'm energized. I'm empowered, and that is the feeling of abundance that everybody talks about.

Sue Bryce | Our goal every day is to get to emotional mastery and get into alignment with what we really want and who we really are. Take everybody for a little drive in that car. Listen to them, and it's going to take you a little bit to work out exactly who the voices are that are speaking the Lourdes.

Nikki Closser | Okay. Yes. This is exactly what we needed to hear all about how this works. So But I do couple questions. Like, I was listening, and one of the things you said was you don't have to believe these voices.

Nikki Closser | You just have to

Sue Bryce | charge. So you can think anything and it's gonna send out an electric charge straight away. You emotionally respond to it because we contrast and compare for safety. Your brain's always looking for safety. If you think a thought that is threatening in any way or frightening in any ways, straightaway, your emotion is gonna be one of trebidation or maybe oh, I'm gonna be alert.

Sue Bryce | Anything that's close to an old story of rejection instantly, we attached to those. And before you know it, we just thinking thoughts that actually don't serve us from the past, which feel like they're now, which makes them happen now. We keep ringing back the same thoughts and responding at the same feelings, and that's why you can't grow past your emotional response to anything because if you react same way to the same problem, you're never gonna grow past it. The idea is when you hold space for me or when I hold space for you, is I want you to grow past your emotional response. So I'm questioning you as to what your emotional response is to this situation.

Sue Bryce | And if you're telling me that your emotional response to that situation is rejection or anything like that. I don't talk about what that person did to you. I don't talk to that I talk about why you feel rejected here because it's always a past story, right? So straight away when you connect it to the past or your the filter of your past, you start to go, oh, yeah. That triggered me in this way because I believe this because I'm carrying this.

Sue Bryce | You do this work. You start to realize people are not attacking you at all. You know, you are living through that filter. So you do not have believe that thought and the the feeling you absolutely should not believe that, that is just a response to the thought And if the thought happened 20 years ago, like, let's say somebody threw shame on you, and they said, you're not good enough. You did you did this, and you carry that shame.

Sue Bryce | And then suddenly that the shame story that's coming up? Well, you might be overreacting to something completely ridiculous over here, but your body feels shame. So that feeling is real, and it's not and now my feelings is like, I'm ashamed. I'm ashamed. And my thoughts is like, because you're disgusting.

Sue Bryce | That's why you're ashamed. You're disgusting. All my thoughts is over inflating with ego going, you're better than all these people. So you just get stuck between my thoughts and my feelings, and you don't have to believe either of them. You have to you have to question my thoughts.

Sue Bryce | And you just have to let my feelings respond without attaching to an old narrative. And that's one of the How does things to do when you first start? But the best part is is how often you get caught in believing them when you first start.

Nikki Closser | Sue, something you you have taught about before is how when we feel something, we have 90 seconds to feel it. And then if we are continuing to feel it, we're holding on to it. Can you talk a little bit about that concept?

Sue Bryce | Oh, I'm gonna I'm not gonna get the author's name. It's an amazing woman, and she's a neuro scientist and she wrote a book and I'm gonna say, is it the brain that changed? But basically, she explains in it that the way the brain works, you feel an emotion for 90 seconds, But after that big wave of emotion, in order to feel another wave of emotion, you have to think another thought. And maybe you're gonna think the same thought gave you the first emotion, which was why did they say this to me? And then you're gonna repeat that thing to you again so that you can feel that feeling all over again.

Sue Bryce | And you will keep repeating that statement for, I don't know, the next couple of days or 38 years. And every time you think that thought, it comes back into your brain with the same emotion that you put it in there with. So if it was filled with shame, you're gonna feel shame. And yet your thoughts went, I don't know why this is happening, your feelings went feels like shame, thoughts went, oh yeah, you're shameful. You've got shameful behavior.

Sue Bryce | You just dig all that up, and then you just went back and you just shined a light on that shame story from 20 years ago, and it's unbelievable that we do this. But we do. So it's crazy. I I I just this loop, once you learn how to break the loop, That is the most powerful step you can take because it's the first step to emotional mastery. It's been able to grow through your emotional response to anything.

Sue Bryce | So when you do ask someone when you get more practice at your awareness to hold space for you, I would like to be able to come to the table with space that's more like Nikki, I know that I'm doing and being something, but I can't quite see it. I need you to hold space for me so I can thing reflected back at what I'm doing and what I'm stuck on. Or I know there's an old story back there. That I'm focused on, but every time I go to look at it, I go back into the story. I feel the emotions so I can't possibly reframe it or bring it to the light or talk about it.

Sue Bryce | And it's never what anybody did to you. It's the way you responded to it.

Nikki Closser | You actually answered the the next question that I had about how how is it that you can't grow past your emotional response is.

Sue Bryce | So yeah. Because you're in the emotion. Right? So I always look at it like this. When I talk to you about something, I'll say, how did that trigger you?

Sue Bryce | And you'll go, And you're always careful what you say because you know that whatever you say, I'm gonna use against you. Right? But you can't lie because I can also feel that you're lying. So It's like, you know, you have to, like, go, what really was it? But before, right before you say the truth, you go to say a little lie.

Sue Bryce | You'll start it with something like, I think it's and you go, oh, I didn't ask you what you're thinking. I asked my feelings My thoughts thinks a lot of crazy stuff, but my feelings is responding. So when I ask you what your feelings were, you go to your thoughts. Everyone does the same thing because that's the story. That's the power.

Sue Bryce | You don't wanna own the crying three year old. Because then you have to tell someone you're a crying three year old, and nobody wants to be a crying three year old, and we all know three year olds are terrorists, Right? So I always think to myself, everybody goes to their thoughts. And I was like, yeah. I know what your thoughts are.

Sue Bryce | Your thoughts are wrong. I wanted to know what was emotionally responding here. And as soon as you tell me, I felt jealousy or I felt envy or I felt frightened or I felt unsafe, as soon as I get the feeling, I know what thoughts start driving this feeling, and I and I see it really quickly. When you start getting in between the feeling, Like that, you stop feeling it. Because then you're observing yourself attached to the old story.

Sue Bryce | Okay. So I've tried this recently. I had an argument with my husband over something that actually hurt me. I was hurt by it, And I removed myself, and I went into the toilet, and I cried. And I sat there crying, and My thoughts, I I my observer was like, why are you crying?

Sue Bryce | Because my observer does not talk. It can ask a question, but it doesn't talk. Why are you crying? And my feelings is that

Nikki Closser | my feelings are hurt.

Sue Bryce | And I, like, listened. And I was like, cool. Then I was like, my thoughts, why are you upset? And my thoughts were upset instantly came up resentment. But my my thought was I can't believe we're having this argument when I've done this, this, this, this, and this.

Sue Bryce | And as soon as I heard myself think that I was like, oh, that's the combater in me that wants to go and fight to, you know, make this feeling go away. I wanna go and preserve myself, save myself. I wanna go, you know, how dare you say that to me when I did this, this, and this. And so As I'm watching myself process this, I was like, is this true? And I was like, no.

Sue Bryce | Is this really how you feel? Well, yes. So that means you've returned to being a people pleaser because that means you're doing stuff and not setting good boundaries because you're feeling like people are taking your time now and you're getting upset about it. And I was like, and then I'm like, are you really upset with him right now? And I was like, so I just sat there and it's always about me.

Sue Bryce | And and then I was like, I still wanna cry. That's what I said to myself. But I still wanna cry. And I said, really? And as soon as I said it, I was like, I couldn't cry anymore, but I was just testing myself because I teach this.

Sue Bryce | And I know I do it, but when I am in a situation, I'm very rarely in a situation where I'm emotionally confronted or you know, upset about something, but it happened. I had this stupid argument with my husband, and I got upset about it. And then I removed myself, and I watched myself process it. But before I processed it, I tried to go to fight, then I went to resentment. I checked out all those bad boxes first just to see if I was the good one and he was the bad one.

Sue Bryce | Right? So I was like, no, wait a minute. I'm doing more than you, so I'm definitely gonna win this fight. Oh, no. No.

Sue Bryce | Yeah. I'm resentful, but then I look at it and I go, what am I doing? So now I just kind of watch my own mind. I take them over a drive. Listen to them.

Sue Bryce | And when that old story comes up, straight out of my car, and I love bringing I love bringing dragging the monster out Like, that bad thing, you gotta bring it out. So to me, when I find a bad thing, like, I don't hide it. If there's envy in me, I tell my friends because I'm like, I felt envy. I was watching this woman on stage, and I couldn't even give her respect. I wanted to leave the room.

Sue Bryce | I felt envy. I want what she's got. Like, I wanna bring that to the light and not have envy eating me up inside, but realize that's a call to write a goal list. So To me, it's like, bring it into the light.

Nikki Closser | Sue, I don't know if you remember this, but many years ago, I was like, I came to you and I was like, feeling like jealous of this person, and I couldn't figure out what, like, what was going on. And you were like, Nikki, what does she have that you want? It's envy. And I was like, light bulb. Okay.

Nikki Closser | And then we we made goals together. Like, okay. What is it that you truly want? It was, like, that conversation was revolutionary for me.

Sue Bryce | You know, envy is, a great emotion. It it's it's a blocked emotion. It means that you want something and you don't know how to get it you think somebody else is getting it over you. And weirdly, like I said yesterday, you know, and and the other videos, it truly is You believe someone's taking away from you in that moment. But envy is envy is good.

Sue Bryce | I went home that day. I wrote down everything that that woman had that I won it. And I I created it. I made that for myself, and I definitely did that. I don't feel envy anymore.

Sue Bryce | I don't feel envious towards people. Once I broke through sort of abundance, learning how to create for myself, I no longer look at other people and think, oh, they have that. I look at people. I'm so glad for people that they have things. I'm so glad that they're achieving things and that they're in flow and that they're in alignment.

Sue Bryce | Like, That's all I could even want for anybody. I don't I no longer feel the envy. So if you do feel it, that's a call to self love. It's a call to write a goal is to action, write down everything you think this person has. Oh, that's what I was gonna say.

Sue Bryce | Sometimes it's hard to pinpoint. And people would attack me on, oh, not attack me, but write horrible stuff online. I never ever argued or fought back online when I was building my brand. I would just go in with love and say, like, you know, and so when people would try and shame me or say, you know, you're not even that good. We don't know why you're so up there on that stage, you know, even that good.

Sue Bryce | I would kind of just come from a place of, like, I know I get a lot of support. So A lot of people believe that they could be a lot of things if they had the right support. And then they see someone like me who has all the support. I have such a phenomenal team around me, amazing people, and people look at me and go, oh, she's so lucky, or they'll resent me or hate me for being successful because, clearly, I have people around me that support me and they don't have that. So you can see how that envy resentment is definitely for a lot of people, and it was there for me.

Sue Bryce | It was so big for me. I was just so envious because I didn't know how to create it for myself, and I would see people. And I'd think I don't know who that birch thinks she is, but, you know, and then I would just leave and I go, I'm disrespectful. I'm disrespecting this person. I really had to hold the mirror up to myself.

Sue Bryce | Mhmm.

Nikki Closser | And that's that's the thing. Like, if people start to feel kind of bitterness or or something towards someone else, it's looking, stopping and thinking, well, what do they have that I want? And Do you know how many people we sit in front

Sue Bryce | of you, Nikki, and tell you that they're not better. I'm not a better person. Really? Really? How much are you gossiping?

Nikki Closser | Right.

Sue Bryce | Gossiping is one of the most pure evil things you can do. Everybody, gossips when they're envious, or triggered in fear, And ultimately, what you say about me holds more truth about you. So all gossip must stop when you do self value work. Whatever you're saying about other people, it's really about you. So you've gotta stop all gossip because gossip is envy and resentment.

Sue Bryce | That's all it is. Spoken out loud, other people doing, and you're doing it. You're doing it. You're being it. You're saying it.

Sue Bryce | You're saying it, and you're empowering more drama. And then you're just gonna attract more drama because gossip is competition. And, yeah, actually gossip is your first pathway to narcissism. You believe that? It truly is.

Sue Bryce | It is because it's one of those things where we don't own anything we do for ourselves. When we gossip, we blame other people for the things we do, And that's by definition, a narcissist, someone who takes no responsibility for their actions and believes that they, you know, are more. So I'm like, get away from it right now.

Nikki Closser | Well, I know you talk a lot about all of this within the self value workshop, but it was just something, you know, I thought would be a great bonus video for you to just lay it all out. So this has been Super great.

Sue Bryce | I love it. The self family car is awesome. You know, I I'm always checking if who else is getting in and out of the car, but I feel very confidently that those 3 stay in the car and that the other ones can get kicked straight out to start using it, start seeing it. Start seeing the difference between my thoughts and my feelings and the response. I think fear is just constantly whispering in the background.

Sue Bryce | So I don't even listen to fear anymore. I listen to fear only as an instinct. But those 2 in the front, if there's any anything out of alignment in my body, in my soul, in my in my life, it will come up in that front seat, and those 2 will start squawking, and all you have to do is take them for a drive. So enjoy the self value car. Let's head over to suffering.

Nikki Closser | Sounds good. Thank you.


==== End of Transcript: Deep Dive Bonus – The Self Value Car ====
