Zoom Meeting 
Wed. Jun 19, 2024

0:56 - Unidentified Speaker Now you.
5:25 - Jim Huffman So I mean, we do it in in like such a dumb, custom bespoke way where it's like, just make a simple page with like a form to get the lead magnet and then send them to the E product. Like I love how there's nothing below the fold. It's not like some huge landing page overhaul. It's just an attention ratio of one to one. And that's it. And the simplicity of it is why it was so amazing. And where Jonathan and I are just like so into the like, we're so deep. Works too deep to make the most complicated funnel ever. You should see this funnel we made for someone. It's like 12 steps. It's amazing, but it's insane.

6:14 - Craig Swanson Honestly, that's what I've said. You're spinning it as a benefit, which I think there is a benefit to it, but also I've also framed it as an inability. Is it a bug or a feature?

6:26 - Jim Huffman Exactly. It's both.

6:28 - Craig Swanson Effectively, it just leans on the offer. If the offer isn't enough to do the work, then what the hell are we doing with the rest of the page?

6:34 - Jim Huffman yes exactly and so I I love that it's like go to the next step or get off the page because yeah it was beautiful so anyway that really You kind of had me thinking on the, the ads, as far as like, do we just drive them to the lead magnet and then push them to the, the E product? So with that in mind, I was thinking through what are the lead magnets, right?

7:01 - Craig Swanson Um, so first of all, let's, let's actually, let's lean into like formulaic. Yes.

7:06 - Jim Huffman Um, every one of those lead magnets done, right.

7:10 - Craig Swanson Is also a download on the product page when you sell it to them. Yes.

7:13 - Unidentified Speaker Yeah. Yeah.

7:14 - Jim Huffman Right. Yeah.

7:16 - Craig Swanson So, and I don't, I don't think we ever set out to do three of them. We set out to do one. Yeah. Tell me about that.

7:24 - Jim Huffman Like, I thought that was intentional. Like, oh, I always test three and that's the approach.

7:29 - Craig Swanson We did one. So the idea is to do several, but we kind of started with one. We started with one. It wasn't really hitting traction. The one we started out on was the eight ways creatives can make money. And it didn't really connect. It wasn't very well designed. So like that, that became the second round. So basically we did a second round of that. Um, and, uh, then the ad started to connect and then we basically said, okay, now we've got this. We saw in our ad history that one of our ads was like getting just massive click through. Um, but no, but no, but not clicking through to anything. Like we're getting no results, no sales, but a ton of click through. And we basically said, let's do a lead magnet on that topic. So the one that you saw that was, which I actually think we need to go back and like rework the, some of the wording, the, um, the time, the time, it's a time template. And we, we like use that mashup term time. Splate time splint. It's actually, it's a, it's a, it's a terrible day. It's like, it's a time template and we like merge the two words together. Yeah.

8:42 - Jim Huffman Um, no, I, yeah. Wait, which one's performing the best out of these?

8:47 - Craig Swanson Actually, let me let me let me share my screen.

8:49 - Unidentified Speaker Yeah.

8:52 - Craig Swanson So short version. Absolutely. Absolutely. Let's let's like steal from this.

8:57 - Jim Huffman By the way, as we sit here twiddling our thumbs, it's not significant, but I'm getting a few more sales of the growth marketing operating system doing nothing. You know what I mean?

9:08 - Craig Swanson There is something to be said for doing nothing. Literally not marketing.

9:11 - Jim Huffman It's just like, oh, I'm like, how did they find this?

9:14 - Craig Swanson You know, you're talking about a little bit online.

9:17 - Unidentified Speaker Yes. Yeah, sure. Yeah.

9:18 - Jim Huffman You know, that's a good point. I mentioned it on LinkedIn. Yeah.

9:21 - Craig Swanson Uh, let's see here. So Sue Bryce, let me go last 14 days.

9:33 - Jim Huffman What's your cost per wait for, for how many leads? Six 93. What's your cost per lead right now?

9:42 - Craig Swanson That's probably about two bucks. Nice. And I have, I have noticed this starting to creep up a little bit. I'm trying, I'm doing a little bit of trying to decide whether I want to start to put some type of limiting factor on that. I, I don't know. I don't know. I don't know like at what point I start to worry about that. So overall, if you just look at raw leads. That actually what's happened is basically it is like been shifting Almost every other like it's been shifting over time and like one or massively over performing the two days later so if you look at the top three are actually like the top three so I kind of dig that Nice and sorry, what's your structure?

10:22 - Jim Huffman How are you testing is what's the campaign setup?

10:28 - Craig Swanson About as, about as dull as you can get. Nice. So we have two, one is a lookalike audience us only, um, based on people who have purchased a course. So lookalike audience based on purchasers, excluding, excluding anybody that's currently in our marketing list. Nice. Yeah. That's one. And then the other is just open, like, like it is just.

10:58 - Jim Huffman And if you speak to Jordan and our team, she'd be like, don't do lookalikes. It's all open and letting the, like letting your copy and creative figure out the audience for you. But so yeah, very cool. So, I mean, here's the thing.

11:13 - Craig Swanson I hear Jordan believe Jordan at the same time, kind of don't believe Jordan. So I tend to like, basically this is to satisfy me, but it's in the same account as the one that's open. And you can see that basically the open is just being overspent. Yes.

11:27 - Unidentified Speaker Okay. Yeah.

11:30 - Craig Swanson Very cool.

11:31 - Jim Huffman So they're going into Klaviyo and you have an email drip sequence already in place for all of those or no?

11:39 - Unidentified Speaker Yes.

11:39 - Craig Swanson So here, let's take you through one. So I do the three by three.

11:43 - Jim Huffman I download. I'm in your CRM.

11:48 - Craig Swanson Which one is? I think three by three. So let me just do the three by three. I don't need to go in here. Let's just go into Klaviyo.

11:57 - Craig Swanson So did you go through the check? You went through the checkout process, right? So you, um, you signed up, you got on the email list, um, and then it redirected you to the sales page.

12:06 - Unidentified Speaker Yes.

12:06 - Jim Huffman And I, I was, I was in love.

12:10 - Craig Swanson So the way we do it is we have the signup forms. So we have the three signup forms. If I go to lead, And there's probably a more efficient way to do this. But right now, we've got the time plates, the eight ways to monetize and three by three brand. Visually, they don't look any different because they're just that sign up form. But it's just we are just tagging them with what they're signing up for. And I think there's probably a way to make that more efficient. Yeah. And then I have this one, which is the the confirmation. So basically what I'm doing is I'm going to a special confirmation and this pop up. All it does is basically show you special offer just for you. Gotcha. And this throws you to the product page.

12:54 - Jim Huffman Exactly.

12:55 - Craig Swanson Gotcha. And so all three of them, three of that same product page after doing that. Okay. Um, and then the flows look like this, uh, free download. Let's see which one.

13:13 - Craig Swanson So the first one for this, your brand guide, you know, your brand is available. Um, Where's my preview?

13:31 - Craig Swanson Here's your link. Taking the first step with this, Explore Content Curator. We're not even really pushing. I'm a little bit like, I need to push harder. I'll be honest, there's something that's keeping me back from pushing harder on this, and I don't know if I can articulate it.

13:52 - Craig Swanson And then this is the second one that we follow up after two hours.

14:02 - Craig Swanson Nice. Which gives a little more detail. You've just unlocked the brand guy. Here's the download link again. And then basically this. Awesome.

14:12 - Craig Swanson And then I have a series of flows in here that I haven't turned on yet. And I'm actually trying to figure out the best way to do it because I'm thinking about what we need to do is basically after these first two responses, use a generic flow for the remaining ones.

14:29 - Jim Huffman So talk, so you're getting the leads.

14:30 - Jim Huffman They're in the flows. Um, when do you kind of go, you guys like got 400, like nice flows coming in cost effective ish, right? When are you flipping it's like, okay, it's time to convert. We do a whole launch strategy, email sequence leading up to the live courses.

14:53 - Craig Swanson What we're doing right now. So we meet every leads. Do you want, Um, I would like, okay, so there's different thresholds. I'd like to get So let's just start with that 12,000. Once I get to 12,000, I can do. Um, more time aware sequences. Like there's just like, there's certain things that unlock once I get more than 12,000, are you down to spend 24,000 to get to 12,000?

15:16 - Jim Huffman If it's $2 lead.

15:26 - Craig Swanson Not, no, not until, not until we're actually making money on that. And it's not $2 per lead yet. So right now, like we've made $800 on this. So.

15:36 - Jim Huffman Amazing, you're making money as you're getting leads.

15:38 - Craig Swanson Well, we're making money while we get leads. So that's the whole thing, but we're not making more than we're spending. So for me, for me, that is basically the calculus I'm looking for.

15:49 - Craig Swanson So you asked, would I spend $24,000? No, I wouldn't spend $24,000 in absence of some income coming in.

15:56 - Jim Huffman Sorry to interrupt. Would you ever go for the jugular and not do the lead magnet? Do you do that as experiments as well?

16:06 - Craig Swanson That's what I prefer to do, which I'm kind of doing now. So rather than doing the lead magnet. All right, so let me just articulate what I'm hearing you ask. Go for the jugular, you mean basically ask for the order instead of giving them something free and then asking for the order. Correct, yeah.

16:27 - Unidentified Speaker That is my preference.

16:29 - Craig Swanson In a perfect world, what I'd rather do is I'd rather do a whole bunch of ads that are selling them something for $19, or between $19 and $99, and basically doing that. So let me show you what that sequence looks like, that's very helpful. So in a perfect world, what I'd like to do is I'd like to be able to spend a million dollars on ads selling a $19 to $99 e-product. And I would like to give almost all of that million dollars to Facebook. And what I would like out of that is basically to have spent a million dollars on lead acquisition that covers itself and its lead acquisition with credit cards.

17:17 - Unidentified Speaker Gotcha.

17:19 - Craig Swanson In practice, I have had that.

17:24 - Craig Swanson Probably, I mean, I've had that combination of offer, market opportunity, everything else. I've had that before. I've had that before probably like three or four times in different years. But I kind of like see that as the holy grail. Like that is not something I know how, it's something that takes testing and engineering and some luck. I can't always go straight to that. So I will usually try that. And then in lieu of that, then something else. So in this case, what we're doing is we're basically going for the lead magnet. And then if I can just get enough conversions from the lead magnet in the cycle that I can basically get my money back, I could do the same thing. I mean, I'd be happy spending a million dollars on lead magnets as well.

18:06 - Unidentified Speaker Gotcha.

18:07 - Jim Huffman So your options are go for the jugular, sell the tripwire product $19 to $99, or do a lead magnet.

18:14 - Craig Swanson Oh, you know what? The juggler is a full thing. I don't think I actually don't think I'd ever go for the jugular, which is like the expensive thing at.

18:23 - Craig Swanson Yeah, I don't need to like sell something expensive. Would you define expensive?

18:28 - Jim Huffman What's the the bands you would say?

18:33 - Craig Swanson Non trivial for the buyer, so I'm going to say above. Okay, thank you.

18:39 - Jim Huffman It's somewhat arbitrary.

18:42 - Craig Swanson My arbitrary number is based on the market.

18:46 - Craig Swanson I consider a tripwire or a non-expensive thing to be something that is in my market's comfort zone of spending just a signal to themselves they value something. So where they are okay spending it, and even if they get nothing out of it, they're still okay. Okay, love it. And it's not so much that I don't want to give them anything. It's just that I don't want to have to overly convince them. I want to basically be in that sweet spot where they are basically spending money based on their need, not based on their really intellectual deep dive about whether that's going to provide a solution. Gotcha.

19:30 - Craig Swanson And then ideally, ideally we end up getting, that's where we end up getting our audience, and it's a quicker way to build audience than doing it organically. So we can still do all the organic audience generation, but if we can spend a million dollars acquiring customers, and you're able to create some type of connection with them, then you're able to just speed up your acquisition of people.

19:54 - Unidentified Speaker Gotcha, okay.

19:56 - Jim Huffman Very, very, very helpful.

19:59 - Craig Swanson Let me show you, let me share the whole screen here. Let me think about where I can find this.

20:23 - Craig Swanson Value sale.

20:31 - Craig Swanson All right, so here is a $19 purchase or $199 product. And I don't know if you saw this, do you see this rolled in? Love it, want this for 19?

20:48 - Jim Huffman Yeah. Mm-hm.

20:50 - Craig Swanson And that was holding off on a couple of seconds. I actually need to clean this up a little bit. If I say yes, then enter your email.

20:59 - Jim Huffman Jeez, yeah, it's like a no brainer, yeah.

21:02 - Unidentified Speaker Craig plus.

21:04 - Craig Swanson June 19th.

21:10 - Craig Swanson This just so. Because I end up creating a whole bunch of emails in my account. When I click get the $19 special offer.

21:22 - Craig Swanson It redirects me to a page with a $19 special offer. And I don't know if people are immediately aware that they got redirected to a special page or they just see this. I could also put a pop-up or something else like that. And I do that because if I can get this working, this is the thing where if I can get this tripwire to cover itself. Then I get both the benefit of all those leads from the people purchasing, but I also get all those people who had a bit of a, a purchase intent along the way.

21:53 - Unidentified Speaker Yeah.

21:57 - Craig Swanson I used to, like I did this with Sue Bryce, just a ton. I don't feel like this one's dialed in like this one. I don't, This is, it's funny, I've sold self-value. Self-value as a thing is something that's like always core to the stuff I'm selling. But when you take away the mechanical thing that someone wants in their life and you just talk about self-value, I haven't found the, I haven't found the path to it being like a super clear offer.

22:22 - Unidentified Speaker Gotcha.

22:26 - Jim Huffman I love this. I'm just thinking through my head, what are the products to do at these different points of like lead magnet versus this tripwire product versus the big one? Because you have the formula and the playbook on how we deploy this. It's more of sliding into the right things and how we test those things.

22:46 - Craig Swanson So for you, so from, okay, so first of all, you can do just a cheat sheet. So like on some level, you don't need to put that much into the PDF, but it should be well-designed. I'd say it should be well-designed. Yeah, that's why those are your lead magnets.

23:01 - Jim Huffman Like they're simple, but well-designed. Yeah.

23:04 - Craig Swanson I think that if we did a lead magnet on, is my company ready to scale? Or something like that. It's almost like the first step you did is you had a series of questions and results that basically is my configuration.

23:18 - Craig Swanson I think I have something awesome that will be perfect for that. We need to design it the right way. So, okay, that's game on.

23:29 - Craig Swanson And then to some degree, I also just do a lot of ad generation and then the ads that people are responding to may sometimes reveal, oh, we need a lead magnet for that.

23:46 - Craig Swanson I would say if I was looking at repeating recipes, yeah Yeah, I'll go to this one Sound healers I Do a lot of simple offering that is then basically email capture to get into what they want to do. Yeah. Um, and I also wonder if like, if I might be limiting, like I might be like leaning into older people, like younger people don't do that much with email. And I'm not really sure what lists to do with younger people other than email. Maybe you could do the same mechanism with text. You have to be a little more respectful of what you do next.

24:30 - Unidentified Speaker Yeah.

24:31 - Jim Huffman Um, I mean, that's interesting thought. I mean, I, I'm down to go with like, Email and if we see some issues or friction, we could we could rethink it. But Yeah, I don't know the the anyway, I don't think the personas are like super young towards like we need to rethink distribution. Yeah.

24:52 - Craig Swanson Also, for what you're selling. I mean, maybe email is outdated, but these are all business people. I mean, like, like, you know, these people like have to have email. Yes, exactly.

25:05 - Craig Swanson You know, I look at what my I look at my son's behavior and I don't know if I were selling like, you know If I were selling apparel to kids, I don't know what I would do Yeah, but right now I'm not so Okay, this is super interesting.

25:25 - Jim Huffman So let me pull my agenda up. I'm thinking through what are the steps forward? Because it's like we need to figure out how we test the content and audience that will work and scale. Because I'm kind of obsessed now with these three options, how can we prove this out?

25:50 - Craig Swanson Specifically, like potentially I don't think you're at a place for the tripwire product. So here's what I'd do with the tripwire product. For me, the tripwire product would be, actually, you know what the tripwire, so let's say, I'm just gonna hypothesize out. Let's say that the, uh, are you pronouncing GMOS? Like, like how do you print Jomas? Like, is there a way that we say that?

26:17 - Craig Swanson I've never said it as a word. I say growth marketing operating system, but we should probably come up with something less wordy. We'll just, we'll just call it the system. Yeah. The system.

26:26 - Craig Swanson So let's say that the system proved out as a really valuable, bigger thing. It's like, it's like the big expensive thing. Yes.

26:34 - Unidentified Speaker Yeah.

26:34 - Craig Swanson Okay.

26:36 - Craig Swanson The sold-out playbook ideally is a product we could sell for $3.99. It's priced $9.99. We're selling it for $3.99, something like that. But if it turns out that GMOS is really the big thing, we might try to reprice, after we've got it recorded, after we've got the initial money from everybody for the sold-out playbook, one strategy is to go back and look at it and say, okay, how do we get that thing down in price to where we can get it to be an easy first purchase from someone off a cold ad?

27:18 - Craig Swanson And sometimes like, I mean, this is a little bit, this is where pricing becomes a struggle. It could be a really big valuable thing. It could be a thing that standalone legitimately feels like 699. And if you can legitimately sell that for 999 for $99, off a sequence that is doing an email collection. And we've got the offer after that, which really converts. That could be the strategy to really building your list. So I'm not opposed to giving something away, but it's pretty valuable in that lower price point range if we've got other things in the queue.

27:55 - Unidentified Speaker Yeah.

27:56 - Jim Huffman That's the thing. The GMOS can be real meaty. There can be a lot there. I was planning out all the different modules or wanting to record this. There's a lot there. This is GMOS and all the modules. As I'm looking at the sold out playbook. I couldn't make it meteor if we want to be the big thing, but there's also connection and overlap where, yeah, they could be connected. We can make this that trip wire and I'm definitely down for experimentation on pricing. And then this could be the bigger thing.

28:30 - Craig Swanson Yeah, I I think.

28:36 - Craig Swanson At that range, as In the course world, there's some really great examples of people that sell things in that price point range and basically how you build courses.

28:49 - Craig Swanson I think of our serving a need where people are not trying to learn, they're trying to solve a problem, they're not trying to acquire a new skill.

29:00 - Craig Swanson The new skill may be a benefit of solving the problem, but there's actually a benefit to a shorter path to solving the skill if the system really works.

29:14 - Unidentified Speaker Say that one more time.

29:18 - Craig Swanson If we have a system that really does solve a problem, and that problem is I need to get to market quickly and sell stuff. Yeah. Um, there is a strategy to basically give them so much stuff that feels like the volume of stuff is incredibly valuable. And then there's also a approach where you basically give them the least amount of stuff necessary for them to get the end result they want, but be able to, but have a pretty good track record on that end result working for people.

29:51 - Unidentified Speaker Gotcha.

29:52 - Jim Huffman Yeah, yeah, yeah. Kind of two approaches. Um, The first one feels a little bit more risk-free because it's not dependent on the result. It's just like, wow, they're hitting you with all these things to help me solve this problem.

30:11 - Craig Swanson Is there any party that just knows how hard that result is to get?

30:14 - Jim Huffman And so therefore, um, I think I have an unfair advantage of that need to actually solve the real problem. A lot of people do must-have products. Or I'm sorry, they're selling vitamins, not painkillers. And for a specific audience, it is a painkiller. So yeah, that's what I'm thinking through.

30:32 - Craig Swanson I was also thinking that maybe one of the steps is to find the painkiller.

30:37 - Unidentified Speaker Yeah.

30:38 - Jim Huffman And that's, um, that's part of like, I'm calling it the, uh, the growth physical of like the core questions to ask. Um, yeah. Like, do you have a nice have or must to have or a painkiller or a vitamin? Right.

30:54 - Craig Swanson Um, so yeah.

30:57 - Jim Huffman Actually here, wait, wait, wait.

30:58 - Craig Swanson Why isn't your company growing that right there? That could be the, uh, the, um, be a really fantastic digital, um, digital giveaway. Can you, can you follow that up with, um, three pages? Oh my gosh.

31:17 - Unidentified Speaker Yeah.

31:18 - Jim Huffman Um, and like, here's how you diagnose, like, do you have a positioning? It's not growing because of positioning. And if so, you diagnose it with these two things. It's not growing because of traffic diagnosis with this or conversion or fulfillment, like what's really blocking growth. Right.

31:35 - Craig Swanson Do you talk about this anywhere? Because literally, that right there, in that graphic right there, why isn't your company growing? What's blocking your growth? Positioning problem, traffic problem, conversion problem. That whole graphic.

31:53 - Craig Swanson Um, it feels like you're giving away everything, but if there's a link to a free PDF that then has like, you know, 300 to 500 words on each of those topics with maybe. Okay. So, so first of all, just the PDF, PDF bank, we could stand that up and just go.

32:16 - Jim Huffman Yeah, and I could be like, here's the questions to figure out if why your company isn't growing, like a do it yourself assessment assessment.

32:25 - Unidentified Speaker Yeah, that's super easy.

32:34 - Craig Swanson Yeah. And I'm just trying to think here how you'd convert that. So basically, just like your own internal stuff, like who created that graphic?

32:46 - Jim Huffman Anastasia So she I was actually gonna ask you the same thing around your graphics and creative like who's doing all that stuff Because I'm thinking through speed like So she did all these kind of graphics here, right And this

33:10 - Craig Swanson is in Sigma obviously, mm-hmm I like that. And she's even got them like, so they can be used in different, uh, so it's the same thing in different formats. Yeah.

33:21 - Jim Huffman And she, she, she's amazing. We need, if I had 10 Anastasia, oh my gosh. Um, so yeah. How swamped is she and how responsive is she?

33:30 - Craig Swanson So we've got, um, we've got, I've got someone, her name is Jim. She actually, she runs what is, what's it called? She's an ADHD coach for photographers. Um, and has a small crew of people that basically do customer service and, um, and like content creation. And I think that she has a designer, it's like, I don't need to know who all she uses. But basically, we throw our stuff like this and she just kind of goes through and creates it. And she uses, she's one of the few people that like uses the tool I built. So the same tool. So she uses that tool I built to basically pull the content out of stuff that Sue teaches and basically like use that as a starting place. Yeah. I'll be honest.

34:16 - Jim Huffman I've been very impressed with the content you put out there because it looks high quality and professional, but very simple. You know what I mean? So I'm, um, I'm, I'm down to flex accordingly. We could like use Anastasia for things. We can do, do a little bit of both. Right. Um, she, she is quite busy, so I just have to give her some lead time. But the thing about her, I throw her something. She, she crushes it. We have other designers that are good, but the first design you have to hold their hand. You know what I mean? To be like, here's exactly what I'm thinking. Anastasia, she like gets in your head. She already knows.

34:50 - Craig Swanson So if we did this, like if we basically, so, okay, so right now let's, Let's just look at this, this one, this one thing right here. Why isn't your company grow? And by the way, I'm kind of picking that somewhat arbitrarily, but this feels like a really, my original one, I said that I thought it'd be a good, a good lead would basically be the test to see if your company can grow. And you've just phrased it as a negative, which is even better. Is it better?

35:14 - Jim Huffman Cause let me pull up. Cause that's cause you brought that up as the sold out playbook. Here it is, this one, how to validate if your company is ready to grow. Yeah, so making it, yeah, what do you like better, the negative connotation of the, why isn't your company growing?

35:35 - Jim Huffman I like that for the free, so I like the negative connotation for the free giveaway.

35:42 - Craig Swanson And then this one feels like, this feels like the first stage, of course, this feels like a one-hour clinic.

35:49 - Unidentified Speaker Yeah. Mm-hmm.

35:52 - Jim Huffman So we can, OK, I'm just.

36:01 - Jim Huffman So that's that could be the one big action is like making this lead magnet, correct?

36:08 - Craig Swanson Yeah.

36:12 - Craig Swanson By the way, for those.

36:16 - Craig Swanson That when you were just on, how does that do in terms of response, like I've seen you post that graphic before, how does that graphic do?

36:23 - Jim Huffman Honestly, it's the neat stuff absolutely performs the best or if I do a photo of myself like 5x and everything People want stories This stuff is very hit-or-miss to be honest.

36:36 - Craig Swanson It doesn't have the best engagement So, yeah The only thing I might throw throwing on there, you know So I also threw the bug that says free PDF and it's got the PDF icon Yeah And this is like, this

36:51 - Jim Huffman is kind of more for almost like, not top of funnel purposes, this is like something I'd put in a book or something. But yeah, I think this could be dolled up to be a little bit more engaging and clickable, if you will.

37:11 - Jim Huffman So I mean, one thing, so make a lead magnet for this, that could be one action item. Can you go back to the Figma offers?

37:32 - Craig Swanson What are you currently doing with all this stuff?

37:36 - Jim Huffman Good question. I'm using it for slow promotion of the growth marketing operating system and for Little talks that I'm doing because I am I have these ideas and I feel like if they're visualized people don't Understand them. So I'm trying just visualize ideas a little bit better Can you share that with me yeah It's Craig at Craig Swanson org If I view, can I basically get the stuff to be used?

38:20 - Craig Swanson Because one thing we could do.

38:21 - Jim Huffman I put edit access on there, so that gives you everything.

38:27 - Craig Swanson One thing we could do is we could basically spin up a bunch of ads and just see which ones get the click to start with.

38:35 - Unidentified Speaker Yeah, for sure.

38:36 - Jim Huffman And then use that.

38:44 - Jim Huffman I mean, I worry like some of, maybe these could be good as ads if they have the right copy around it. Um, but yeah. Well, here's the thing.

38:51 - Craig Swanson I mean, that's the thing about, first of all, I don't know if I'd grab all of them. Yeah. And I might make a judgment as to which ones work or don't work.

38:59 - Unidentified Speaker Yeah.

39:00 - Jim Huffman But, um, Okay. Let's talk about this.

39:05 - Craig Swanson Well, let's because, okay. So here's what we could do. Here's what we could do.

39:13 - Craig Swanson Um, we could basically create a bunch of, so, so first of all, we can create just like some, some landing pages. Okay. So if we were going to use these and do a series of ads to test and we can test on whatever budget we want to test on, um, what, what platform, what channel would you use based on your kind of like experience and, um, what identity would we market under?

39:44 - Jim Huffman As far as platform, I mean, I think the best for storytelling is absolutely, um, meta Facebook, Instagram, um, for this, um, Google ads would be too expensive. LinkedIn. I don't think the, the ROI is there, um, could be wrong. Um, and as far as what identity, um, is it, what are the options, right? It's growth hit it's it's me, right? Those are the two options. So do you have a page under your name? Like a Facebook page? No.

40:17 - Jim Huffman Oh, no.

40:18 - Jim Huffman No, I just have the GrowthHit one.

40:21 - Craig Swanson If I go to GrowthHit, can you show me what you're doing in GrowthHit for Facebook right now? Oh, yeah. It's super minimal.

40:42 - Unidentified Speaker One second.

41:00 - Craig Swanson It looks like you've not been doing anything active on Facebook since about a year ago. As far as organic posts?

41:10 - Jim Huffman As far as organic posts. Yeah, is that my personal or business? Growth hit.

41:16 - Jim Huffman Gotcha. Yeah.

41:18 - Jim Huffman And we could kick that back up. So here's like loosely ads.

41:29 - Craig Swanson Can you go up to search and filter or did you just do that? I only want to see the ones that are active.

41:35 - Unidentified Speaker Yeah. Yeah.

41:36 - Jim Huffman Here are the ones that are active right now. And you're doing $5 a day.

41:42 - Jim Huffman Yeah, and this is just like very basic stuff.

41:49 - Jim Huffman So this is like one of our most popular pieces of content.

41:53 - Craig Swanson Three detailed checklist with 23 steps. Great.

41:58 - Unidentified Speaker Yeah.

41:59 - Jim Huffman And then this is really retargeting for people that become leads is really kind of like the main goal of this. And then where are the other ones?

42:12 - Unidentified Speaker Oh yeah, here we go.

42:14 - Jim Huffman Then here's one, how to create your growth plan, answer nine questions. And then looking at seven figures. So yeah.

42:31 - Jim Huffman So those are, yeah, this was like for the newsletter.

42:40 - Jim Huffman But really, we spend probably 7-8k per month on Google ads. That gets us really high intent leads. We haven't done much with social and this is kind of why I wanted to work with you, honestly. I know we need to be doing this and we just haven't had the right things to really market or push. So really, it's just free marketing.

43:02 - Craig Swanson And honestly, I wouldn't know how to spend. I actually don't know Google that well. So I tend to be interrupt marketing or lead creation or need generation as opposed to being the best competitor once they've decided they want something. Oh, yeah.

43:21 - Jim Huffman I mean, our Google ads, it's a knife fight out there. But I think I showed you our funnel that works. We make custom keyword campaigns for like, you want CRO, and then we drive you to our CRO page, and then we do lots of tests of this page. This is why I said I loved your funnel so much for, let me pull up this one right here. Anyway.

43:50 - Jim Huffman Anyway, oh yeah, here it is.

43:57 - Jim Huffman So we test like expose form, um, as a page for people typing CRN, we test type form, we test exposed Calendly. What's funny, this one still wins. It's beating this one. It's beating the exposed Calendly and this goes to a type form. Um, it costs, we got 10 leads last week at $120. Um, and those are usually about $12 per lead. Did I do that math right?

44:25 - Jim Huffman No, no $120 per lead.

44:28 - Jim Huffman And for you.

44:30 - Craig Swanson Like I just so crazy like we played such different streams. I couldn't. I mean I.

44:40 - Jim Huffman And then it costs us about 2500 to close the deal that will end up being 10K per month. Alright, alright, so I'm just gonna.

44:47 - Craig Swanson I'm just gonna like just.

44:51 - Craig Swanson Alright, if you said.

44:54 - Unidentified Speaker I'm doing lead capture.

44:55 - Craig Swanson Like if you, if you just told me getting new leads, got 10 leads, $120 lead in my world, that means that would translate to something be around. Like they purchased $120 like, like, like thing. Yes. Yeah. Um, And honestly, I think there may be something here. When I thought about, there's kind of this recurring, there's kind of this recurring conversation I find myself in.

45:31 - Craig Swanson The skill that you have for doing, for basically converting these things into higher ticket business relationships.

45:43 - Craig Swanson Is a skill that I've kind of written a story for myself that I don't know how to do anymore.

