==== Start of Transcript: Deep Dive 12 - Awareness ====

Nikki Closser | Hi, everyone. Welcome back to the deep dives. We are on awareness this week, Sue. How are you?
Sue Bryce | You can do this. Oh, there's so much self

Nikki Closser | love in that too. Like, so much support and just

Sue Bryce | Self Kia, self soothing, self trust, We've betrayed ourselves. I want this, but I can't have it because we're constantly betraying ourselves. What we really want and we don't trust ourselves. We make goals that we don't really want, but we think that they're important goals. I'm gonna run a marathon and I'm gonna lose a £100 and all these stupid goals that we think will bring us more attention more love and then we fail at them and then hate ourselves.

Sue Bryce | Like, we betray ourselves all the time. And another awareness after you my thoughts and my feelings, the second awareness is I don't have to believe them, and I can change them. The third one is what story do I attach to the most, because there'll be one story that you attach to when you feel bad, that you love so much. That's your poor me story. Number 4 is what's your avoidance.

Sue Bryce | So you're gonna feel that, go straight to your avoidance. Just name the baby. What is your avoidance? I'm an eater. It's that simple.

Sue Bryce | I still to this day when I can't process something, we'll go and over eat something. It's my process of self care. It soothes me. It brings my anger down because it stuffs my anger. Down into my belly, into my liver, into my gallbladder, and into my digestive system, and then it upsets my tummy for 3 days.

Sue Bryce | So learning how to not do those behaviors, sure, their awareness. So now we're at number 5. We haven't even got out of bed yet. Because we're first aware of, you know, our thoughts, our feelings, what we're creating in our day. Now we're becoming aware of what we believe this stories we're attaching to.

Sue Bryce | And when we're most uncomfortable, what do we do for avoidance? Though all of those stages, now we can get out of bed. I always love that prayer. It's like dear god today. I have not gossiped or bitched or moaned or eating chocolate cake or spent on my credit card or gone to my avoidance behaviors, but I am gonna get out of bed soon.

Sue Bryce | And I will need some help with the rest of the day. Okay. So then the awareness of self is, like, the first things we need to work on. Now after we get out of bed, the awareness of how other people are seeing us, perceiving us, treating us, how we're received in the world, how much love we're getting the resentment we have towards our partner because that holds our greatest emotional truth. Suddenly this awareness that you have is to your thoughts and feelings, are being shown back to you.

Sue Bryce | And that's why I say the world is responding to your emotion.

Nikki Closser | Mhmm.

Sue Bryce | And then you'll realize that it all comes back to those first five steps before you get out of bed.

Nikki Closser | The whole mirror, like, you were just talking about mirror mirror. I know that's how you often refer to it. This has been a big game changer for me as well. Just throughout the years where if there's a v okay. There's one there's actually one that you talked about that I have been really cognizant of myself is when You might get irritated that people aren't listening to you.

Nikki Closser | They're just talking over you, and they're not listening to me. Well, maybe it's because I'm the one who wasn't listening and who was interrupting or talking over people, and that is something I've paid so much. I'm such a better listener now.

Sue Bryce | Same.

Nikki Closser | And I get so much more engagement and response and feedback. And once I became aware

Sue Bryce | of that, there's so many different things. To talk back. I I realized that, listing is so powerful in terms of how it energetically holds space for another person, whether they're a stranger or a friend, it's so powerful that in being in that moment of listening to them, it brings so much engagement back to you that I didn't need to be talking. My need to be talking was that people would get to know me and bond with me and And but the truth is is when you truly listen, when you truly are present in conversation, it's a game changer because it brings somebody to a full like, awareness in connection with you. Mhmm.

Sue Bryce | And, yeah, I did that with my clients. I did that with my friends, and I learned how to definitely be more engaged in my listening and and myself.

Nikki Closser | Mhmm. And that was just one example. I mean, there are so many examples of things that we get irritated by that other people do when in reality, we have to look in the mirror and see. Is that something that we do as well?

Sue Bryce | My last question, after I dropped that bomb, everyone was like, Okay. So I have a lot of questions about that. Looks like this. The only time mirror behavior you need to look at somebody else's behavior is when it annoys you. Because when it annoys you, when somebody's behavior annoys you, you are seeing something in them that is mirroring something in you.

Sue Bryce | That's all. And if it annoys you a little bit, You do it a little bit. And if it annoys you a whole lot, you do it a whole lot. Now It's it's hard when you first start, but this changed my life. Because in my mind, I was like, anything you say about me holds more truth about you.

Sue Bryce | So that means anything I say about you holds more truth about me. So now I only want to acknowledge all the great things about you because that means those things are in me. And if I acknowledge the bad things about you, I have to acknowledge that I must do them too, or I wouldn't see them as judgment or behavior. It's that simple. So what is it that this person is doing?

Sue Bryce | And how are you doing that as a mirror in your own life with your own time, with your own And it takes a little bit of uncovering, but it's always right in front of you.

Nikki Closser | Mhmm. Mhmm.

Sue Bryce | And it's

Nikki Closser | part of that another big part of taking responsibility so that you can take control back.

Sue Bryce | You're exactly right. Responsibility is if it's my emotions and my narrative, it's my loop, it's my story, and it's my brain, That means it's happening inside you. Nobody is doing that to you. You're the one that leaves with the thoughts and the feelings and then gets stuck in them, that's you. So you really have to even look at somebody's behavior that's upsetting you And when you leave and you're still upset, it's because you haven't done something.

Sue Bryce | You haven't communicated a boundary, obviously.

Nikki Closser | That's a big one.

Sue Bryce | Or you haven't been honest about the situation. So you're not communicating at all, and then you're looking at someone else's behavior and you're annoyed by it when you leave, well, they're happy. So it's only hurting you. And if it's only hurting you, it's because there's something about that you need to learn. There's something about what that person's doing you need to see, and there's something about what they're doing that's annoying you.

Sue Bryce | And if you look in the mirror, you'll find it because it's not them. It's the mirror to what they're doing that you don't like in yourself. Now we can call the shadow parts or whatever they call it. I know that there's lots of different names for the parts we hide. And I always say bring it to the light.

Sue Bryce | Mhmm. Now I love you as a friend. And so to me, I'm okay if you talk about something shameful. I'm not gonna shame you and say, oh, you should be ashamed of thinking things like that. Like, I'm gonna love you and hold space for you.

Sue Bryce | So when you bring a shame to the light and you say, oh, I'm bringing this. I can't I do this. I do this thing. And I laugh and go, oh, I do that too. You instantly feel okay about the shame that you thought was your private little shame.

Sue Bryce | And everybody has it. Everybody carries all the shame about stupid stuff. Mhmm. It's like you bringing it to the light and and, you know, it's like, come on, Nikki, drag out that ugly thing, that

Nikki Closser | big scary thing, and

Sue Bryce | you drag it out. It's like this big monster. And then everyone looks at it with their torch on and goes, you know, this is not that scary. I have one too. And you're like, wait, everyone feels like this.

Sue Bryce | Yeah. Yeah. And then I'm not a freak show? No. We're all freak shows.

Nikki Closser | Well, yeah.

Sue Bryce | Yeah. If it's okay. We're all definitely freak shows.

Nikki Closser | I guess it that it it's almost seems like for some people to have self reflection, and I've been there, you know, to have self reflection to admit that there's something I need to do or change. I need to do differently or change or whatever, and I'm impacting my life negatively. It's like it's too painful for people to even go there.

Sue Bryce | Punch.

Nikki Closser | It's it's so strange.

Sue Bryce | So you'd rather blame everybody around you?

Nikki Closser | Yes. I mean,

Sue Bryce | take responsibility of your own thoughts and feelings and your own thoughts and feelings have created such a narrative that they really okay. Let's take your feelings out of for a moment, that's, like, muzzle my feelings in the car. And, you know, they're still jumping up and down because their feelings They don't stop their feelings. They just respond. We have to look at my thoughts.

Sue Bryce | Mhmm. Just look at what my thoughts are stuck on. It's an old story, mom's voice, dad's voice, somebody else's narrative, a fair narrative from the backseat, Doesn't matter. Someone's talking and you're responding to that voice. That's in your head.

Sue Bryce | Weirdly. Okay. Well, this is something that I've coached thousands of startup businesses and putting yourself out there online is a big thing.

Nikki Closser | Yeah. But

Sue Bryce | the weird thing is is I always say to people, what do you fear most that people will say about you online? And they always tell me their top 3 greatest fears. And I'm like, okay. You know someone's gonna save us. Great.

Nikki Closser | Some points, someone's gonna be a hater.

Sue Bryce | They're gonna say it real quickly because those are the three things you're looking for. Those are the three things you fear the most. Those are the 3 things you're looking for more evidence of, and those are the 3 energies that you believe will hurt you the most and what you fear you will attract. So let's get this really clear. The second you identify a behavior and you identify what that is, you're going to attract multiple situations that day, the next day, that week, that month, that give you more evidence that that is true and that is your identity.

Sue Bryce | So it's that simple. You've gotta stop and just shift that frequency straight away so you can become aware of an old narrative. You can say, like, hey, Nikki, I'm going through something, and it's really I'm really trying to process it. I'm seeing it in other people. I'm I'm not working out how I'm seeing it in myself, but I just know I'm doing this behavior.

Sue Bryce | And the narrative I keep getting stuck on is and say it. And when you say it, it's almost like, I just keep getting stuck on this narrative that I'm not good enough and you start saying it, and then all of a sudden you hear it, and you're like, oh, this is the voice of fear. This is the voice of my mountain. This is the voice of You just hear it coming out of your mouth. So the mirror is to just become aware that whatever you're seeing around you is just a reflection coming back to you of something you need to do.

Sue Bryce | Now that also could be because a lot of people asked, what about if somebody's doing this? And I was like, well, have you confronted this person and told them a boundary of don't do that anymore? And they're like, no. And I said, well, go and do that and then come back and tell me what the awareness is. Like, sometimes it's because we're not standing up to someone.

Nikki Closser | Mhmm.

Sue Bryce | Or we're not communicating honestly about a situation or we're not setting a boundary.

Nikki Closser | Mhmm. Why why do we do that? Why do we not set the boundaries?

Sue Bryce | You know, we avoid conferences coming

Nikki Closser | and were people pleasers?

Sue Bryce | Oh, yeah. Boundaries is coming. Let's not getting into boundaries right now because boundaries, I believe, is pretty much the life changer of moving forward. It's then putting up a very clear boundary about what you'll no longer tolerate in your life. Yeah.

Sue Bryce | Boundaries an entire segment. Okay. So awareness of when you have no boundaries, so maybe keep that journal. I don't want this anymore in my life. And in order to not have that, I would have to set these boundaries.

Sue Bryce | And you're just coming to awareness of the boundaries you will need to sit and how difficult that will be. Because setting boundaries when you're a people pleaser, saying no when you've been saying yes, to make people like you is really difficult to do, but you're gonna get there because I am a recovering people pleaser. And I'm doing really well. But if I was, you know, to sort of parallel my people pleasing recovery to like, how fast does it work? It is deeply ingrained in me to be a people pleaser.

Sue Bryce | Same. I still don't get to change the people pleasing behavior until they feel resentment. And by the time I'm at resentment, I have already broken through to the boundaries. So I am constantly turning my electric fence on. I call it turning on my electric fence.

Sue Bryce | That we'll talk more about boundaries. Okay. Oh, can we talk about I know we talked about this in, in relationships and love, but can I just come back to the one thing you said when you The thing that you resent about the person you love holds your greatest emotional truth? So if we come back to just the mirror of that, A lot of people have a big problem with their partner around change. So you're trying to do something like change some behavior or you're trying to build a business or you're trying to, you know, leave the kids to go and get a job or you're trying to do something and your partner is the one that's not growing.

Sue Bryce | They're stuck. They're stopped. I just wanna bring you back to a mirror that will really be a game changer in your relationship. And that is, if you are upset that your partner's not moving, you're not moving. And if you're upset that your partner's not doing the work, you're not doing the work.

Sue Bryce | And if you're upset that your partner is not giving you the right amount of love, you're not giving yourself the right amount of love. And if you think your partner is disrespecting you, you're disrespecting you. The mirror to our partner is our greatest mirror. There is so much going on that we will put on this per whoever that person is.

Nikki Closser | Mhmm.

Sue Bryce | And there is so much we'll blame them for that is us not moving. It's so crazy. And this is where when you are in a relationship with someone and you feel completely stuck in that static relationship and you're not connecting and there's resentment, pull that resentment up and output on the table and look at that resume and write out all the things you resent about your partner, straight out, write them out, don't tell them, Just write them out for you. Mhmm. And then look at that and hold up a mirror and say, am I doing these things?

Sue Bryce | Am I being in these things? And you are, you're being all of them. And, you know, even when, like, we had a year after we sold the business where both my husband and I floundered, we just floundered to what do we do next? And is this something we build a new business, or do we, you know, what do we go and get a job? Do we retire?

Sue Bryce | And I got so frustrated after a year and a half, and I was just blaming him. I was blaming him for not moving him for not choosing some nothing new. You know, and I even started to say things to him. Like, go and do something with your daylight. You feel wayly stuck.

Sue Bryce | I was saying things to him. But it was me. And then somebody came up to me at a talk and asked that question about seeing resentment in my partner. And I said, well, what you resent about them holds your greatest emotional need, and the second it flew out of my mouth, I just went,

Nikki Closser | oh, great.

Sue Bryce | Oh, I'm doing that. So I went home, you know, from that conference and then that workshop, and I said to my husband, you're not moving. And he just looked at me like this, and I said, that means I'm not moving. You're not connected. That means I'm not connected.

Sue Bryce | You're not changing. It means I'm not changing. And I was like, I'm so sorry that I've been seeing that in you when I realized right now it was me. So I started building self value because I was like, Here I was. I know all these answers, and I'm still stuck in that I don't know what to do.

Sue Bryce | And the truth is I knew exactly what to do. And I wanted to do it, but I just got a little bit stuck on what he wasn't doing. And, you know, at the end of the day, You are there to love yourself more in your relationship, regardless of what your relationship is, but the more that you see yourself reflected back and work on filling yourself up, the deeper and better that relationship gets. It's just like almost like magic when you stop presenting them for something that they're not even doing. Weirdly, I say not even doing, they're definitely doing it.

Sue Bryce | That's why you're seeing it. But you're seeing it because you're being it.

Nikki Closser | Yeah. And that's a good clarification. Yes.

Sue Bryce | Bad doing it.

Nikki Closser | Right. This is a good clarification. I think sometimes we, like, get into this. It's almost like a habit. Like, I'll find myself in this kind of, like, What is this person doing wrong?

Nikki Closser | Right? Like, I know they're doing something wrong, and I'm in this, like, space and nothing. They're not doing. Like, nothing's even happening. I feel like this is one of those habits that we really have to become aware of that we're doing and just snap out of it.

Nikki Closser | Like, why am I living in this? It's a habit. It's a habit.

Sue Bryce | You've lived in a poor me, like, I lived in a poor me for a long time. It's really easy when you get, to blame other people for your poor me.

Nikki Closser | Looking for something that the source is doing wrong.

Sue Bryce | Yeah. That's so hard to see that mirror. It's so hard to see the mirror to you because you're just blaming them. You blame them for everything that they're not doing or everything that they are doing, and you just don't see that it's you. Mhmm.

Sue Bryce | But, you know, when you leave somebody and you go away and you still have emotions, that's because those emotions are yours. Not those per That person might trigger those emotions in you, but they're yours. And what they triggered was not the emotion. They triggered an old story in you. That you're responding to emotionally.

Sue Bryce | So let's get that fact straight. And once you learn that they're triggering you, why are they triggering you. And then you could go, because they're doing this, this, and this, and then you go, am I doing this, this, and this? Mostly, it's what they're not doing. Which is what you're not doing.

Sue Bryce | So again, when I first got into my relationship, And I said on stage, he doesn't love me enough. It's I was doing that. I was seeing that I wanted more from him, but I wasn't giving it to myself. I wasn't asking for it from him. I was just expecting that he would be giving me this fulfilling love, and I just wasn't giving it to myself.

Sue Bryce | So that was hard because all I saw was a poor me. He doesn't love me. That was the bottom line. And if you get to the bottom line, you know, that's when I look at you and I'd go, Nicky, what's the bottom line? What's the belief here?

Sue Bryce | He doesn't love me enough because I'm not enough. Well, the only way you could change that is to feel like enough in yourself. That person can't make you enough. They will never be able to make you enough. You don't believe you're enough.

Sue Bryce | That's why you're looking for it. That's why the mirror showing back to you is what you now have to start doing for yourself. That doesn't mean the person who is marrying back to you won't shift because the second your energy shifts, they'll shift. That's the crazy part. You don't have to get divorced.

Sue Bryce | You're quite surprised how when you shift your energy and see something different in them, you will see something completely different and fear energy will shift to, or you will grow a part in a loving way. Because when you no longer blame someone and you just have acceptance and love for them, it's there's no There's no fight. There's no struggle. There's no resentment. There's only peace.

Nikki Closser | So much of what you just said goes back to the whole, like, We look for outside of validation, and we need to stop doing that. Wow.

Sue Bryce | It's just Okay. Let's break that down. In order to survive your brain, contrast, and compares. Someone comes towards you on the street, are they safe? You're a woman.

Sue Bryce | They're a man. It's dark. The streets alone. What do women think? Is this a safe situation?

Sue Bryce | Alert, alert contrast, compare? Okay. That is a risk assessment. You walk into a room, you're prettier, younger, you know, your everything in society that is better than me and you sparkle at my husband. My husband sparkles back.

Sue Bryce | I feel fair. Like, we contrast and compare. That's how we know who we are, where we are, where we fit in, who likes us. Are we safe in the tribe? Are we accepted?

Sue Bryce | Everything is contrast and compare risk assessment for fear. Fears it's in the back seat keeps us alive. That's how you're biologically wired. So that means when you're in a state where you're making up your own truth and you're here, like, I'm not good enough. You walk into a room and you're looking for your ego.

Sue Bryce | You're looking for someone to say, oh, you're the best looking. You're the cutest. You've got the hardest body. Whatever your thing is, you're looking for that. You're the smartest.

Sue Bryce | You're the richest. You know, you are the most successful. Whatever you're is you're looking for evidence of that and if you don't get it or if you feel bad about that, you'll see evidence mirrored back to you that you're not those things because you're in your ego How? If you walk into a room so filled with contrast and compare, can you possibly be even present in conversation? You can't because you're so interested in how other people are perceiving you in this room.

Sue Bryce | Right? And so human beings are selfish. We are so selfish. We love talking about ourselves. We like all the energy towards us.

Sue Bryce | We like our needs being met how we like them being met, even if we can't demonstrate them or, emotionally ask for them. We're just selfish narcissistic, the world revolves around new people. So all you're seeing out there is a reflection of what's going on in here. How about we change what's going on in here? The biggest awareness you need to come to is acceptance, and that's the next segment.

Sue Bryce | Acceptance and boundaries get their own segment because they're the 2 things, the 3 things, awareness, acceptance, boundaries will change your life. These will change your life because you will come to so much awareness of how you are stopping money, how you are blocking love, how you are blocking your path forward just because of your own thoughts and your own feelings, and you can shift that and change that.

Nikki Closser | So true. Absolutely. That's the best. And having that control and knowing that it's me that I'm I can do it. I I don't have to rely on anybody else to change it for me.

Sue Bryce | And I'm okay. Great. It's yeah. Regardless of what I find out about myself in this moment.

Nikki Closser | Yes.

Sue Bryce | I'm okay. Like, finding out that I'm the finding out that I'm the problem in this situation, I always say to people, you've all got that one friend, right, that just sucks the life out of you. Like, it's their vampires, and everybody's nodding in the crowd. And I'm like, yeah. That's, It could be you.

Sue Bryce | You could be the born payer, and everyone stops nodding and saying, I don't really know any vampires. And it's so and it and it can be you. Now when I was stuck in a drama focused, I had drama all around me, and I was like, there's so much drama in my life, but I was constantly in it with other people. I was constantly part of it. So I was one of the vampires and, you know, acknowledging that was tough, but then I also learned I didn't have to be anymore.

Sue Bryce | I didn't need to connect with people in a negative way. I could absolutely choose how to live my life and how to speak to people and what energy I did wanna bring into the room or what I didn't wanna bring in. That took me a long time.

Nikki Closser | But you you can always change it. You can always change it.

Sue Bryce | You can change your thoughts, and then you can change your feelings. So worst awareness is what what am I waking up in yesterday's emotions or, you know, fear? Come back right to this present moment, coming to that awareness of, you know, what I'm creating for my whole day now. The the energy that I set in the morning and my daily ritual is gonna set me up and my family and my work colleagues and my clients because it's gonna attract and attract energetically. And magnetically, your goal is to get up in the in the morning and get yourself into alignment as quickly as you can.

Sue Bryce | We can get everything that you want so that you can stay in the present moment.

Nikki Closser | I love it.

Sue Bryce | Yeah. Perfect. And create in the present moment, and that's the most exciting part.

Nikki Closser | Yay. Awesome. Next week. Oh gosh. What did we just say next week is?

Sue Bryce | Acceptance.

Nikki Closser | Acceptance. Yes. I just had a total brain fart. Yes. Next week is acceptance, etcetera.

