"Quick question, why did you originally sign up for *Content Curator*? ",And did *Content Curator* help with the reason you initial signed up?,I'm glad it helped! Can you describe how *Content Curator* helped?,"Last Question: What changes could make *Content Curator* work better for you, or for future participants?","*Bonus Brainstorm:* If we renamed this course, what's an idea for a name that you think best matches what you got out of this?"
"I was seeking something like this, as I was heading to a Content Creator path, and everything that was coming to me did not feel right or fit my sensibilities. I was SBE member 2018/19 and drifted away. I haven't seen anything Sue Bryce related since. Saw the Facebook ad! Thank you, I needed this! I found some money and was ready :)","Yes, Content Curator Helped!","I had many ideas and projects I was/am working on and in the process of building. This helped me so much to sort through it all, find the clarity, make sense of why I was doing what I was doing and walking this path already, I have the tools now to do this over and over. Excited to see how my first ""product"" goes!","Some of the workbook pages I had a hard time wrapping my head around, even while watching the videos. I love a step-by-step method but maybe this is by design to get my brain into seek-the-answer-mode. Because I did eventually figure it out, but how many are just tapping out because they don't get it? I also printed the workbooks out, which was incredibly helpful! I don't know if anyone else did.","I really like Content Curator. But words that might bring in the masses are Monetize Your Content or, Content Creator Career Path. But, for the record, I don't like these!"
time to reinvent after 26 years in business ... the next chapter.,"Yes, Content Curator Helped!",,,
"I want to create digital content to ""sell while I'm sleeping"" and learn more about the steps how to do this. And I joined the CC because I know Sue kicks me in my butt with what and how she teaches. That helps a lot to see things through.","Yes, Content Curator Helped!","I have a clear vision what I will create. I've got my creativity, my clarity and my confidence back through CC.",Sometimes it seems complicated. Sometimes I don't get what Sue is trying to say or the meaning of what she says (English is not my first language). Some things make sense at a later point and give me the light bulb. I'm reading through some marketing/human psychology books at the same time - that helps me to understand what Sue says.,Oh I think Content Curator or Creator is a great name
"to learn how to create meaningful content for workshops, podcasts, templates","Yes, Content Curator Helped!",So far it has really helped me organize my thoughts around what i want to teach and sayand make them meaningful for others. This is a big process and i find I need time to digest each segment of Sue's course.,Need a bit more time between week 3 and week 4 to really digest the develoment of ideas stage. Most of us are working while we are taking this. I'm about 2 weeks behind right now because I'm digesting and creating from week 3.,IDK
Yes. How to show up and leverage the digital economy.,"Yes, Content Curator Helped!",I’m learning how to think like an online creator. The roadmaps are gold! And Sue is always kick-you-in-the-seat-of-your-lame-ass-pants-motivating! 🤣,Option of small co-working groups or accountability buddies. To bounce ideas off one another (says the introvert),Digital Empire Launch Academy
"Yes! While I’ve successfully created a course already (based on beta curator in 2022), I wanted a more detailed blueprint for hosting a workshop, writing a book, and expanding my speaking career. It’s helped so much!","Yes, Content Curator Helped!","Excellent blueprint. I especially love the checklists for hosting an in person workshop, etc. The videos are great and then the follow up coaching/discussion is excellent too.","communication of time commitment. As a working mom running my own business I wish I had blocked out at least one day per week in my calendar to devote to working on this content. I’m a bit behind as a result, but have blocked out time next week to commit to finishing what I need to do.",I love content curator
I'm hoping to create content and needed actionable steps to make it happen - Sue is good at that,"Yes, Content Curator Helped!","There hasn't been as much focus on practical steps yet (I hope she gets there) but the idea of focusing on your own story and the idea that we can also be speakers in additional to whatever else was inspiring, eye opening and helpful","I do feel Sue is repeating a lot of info. I think a list of tools like website that host content, vendors to use, speaker venues, video reel tips - like how to make them good and actually make them as opposed to just ""make one that reflects who you are"" would be helpful",
Because Sue always has great content and I thought this would be helpful to keep my on my journey but add more value to what I'm already doing,"Yes, Content Curator Helped!",It's helped me come up with some more solid ideas for my business model and moving forward with things that I've been working on but wasn't necessarily sure what the next step was.,I think a week gap in between the sessions would be helpful - some of this has a lot of work to the process.,I like the current name
"I signed up because I knew teaching and speaking were my next natural steps after running my business for 14 years! And what Sue (lovingly) yelled at me in Italy last year really stuck with me, that I’m ready to go forward. 
I was hoping to get some real life advice and specifics on everything! And she has been giving more than I expected","Yes, Content Curator Helped!","I’ve already started recording my education series, am working on digital products, and looking for speaking gigs! I’ve got several really solid topics that I feel so good about. Mastery level for the win!","Very few. Jen’s workbooks are top notch, and go with the content wonderfully. I jumped the gun on a few questions so I think maybe more of a template of the content so we know to chill out and wait for what’s coming.",Evolving Past Mastery
I want to start creating content to increase my profit. Start creating a network. Since the first content creator I wanted to enrolled but I didn’t have the money.,"Yes, Content Curator Helped!","It gives you ideas. How to organize your plans. But I think I need more info. A deepest info. Like for example. How to create a podcast. We need example of the software, a camera, a mic, lights. It doesn’t need to be deep content but at least get the idea. And that’s the same for selling digital products. I think we need a little more info. Go a little bit deeper.","More info as I said before. Tools, softwares. Even coupons in case we buy any software . I think that can be a great addition. I think that is the only piece missing.",I like Content Curator but it can be content curator mind. Ready to content curate. Content creator machine. Haha. I like that one!
"To get some clarity, focus and direction in my business as I relaunch a new business name, and to know what to post for content.","Yes, Content Curator Helped!",It helped me see that there is more than one revenue stream available for me.,I  can't think of anything to suggest - Sue is pure gold.,I like the name as it is.
Refine topic(s) to create content.,"Yes, Content Curator Helped!","It helped me realize I'm not a first-time content creator as I'd initially thought-it's simply my first time doing it FOR me. My entire corporate career was built on creating learning content. This workshop gave me the perspective I needed to see I've been on the right track all along. This entire time I failed to see the value in the content I'm developing because it felt too simple & unsophisticated, only to realize that my success in the corporate world was precisely because it was simple & unsophisticated, making it incredibly easy to understand & adopt.","The visual were a fantastic add. I'd consider incorporating them each week. I would also recommend doing a survey after each online module to capture questions, concerns, comments in preparation for the live.","The name is great, but it got me thinking back to the previous question. I would consider another exercise for capturing tacit content since it seemed like there was confusion among those new to content curation (in the context that you're teaching), specifically around the difference between content curation, content creation, and product creation. Or maybe it's just a matter of differentiating them more clearly as the terms are often synonymously used online. ie: Creating a digital product to some is the same as curating digital content. And content curation to some is the same as creating a product. Hope that makes sense (haha, the irony!)"
Yes I wanted to learn how to grow my brand in different ways I hadn't thought of.,"Yes, Content Curator Helped!","It's reinforced that I'm on the right path, has provided inspiration, and introduced new ideas...like products I'd already created but can use/sell in different ways.",Nothing that I can think of.,Maybe something around brand impact. Like how your brand can better impact the world.
I want to get a better hold on creating content In general,"Yes, Content Curator Helped!",So far it’s just helped me get really clear on what I want to create,I don’t think it’s over yet but I’d love it if we could get more info or insights about filming?,I can’t think of a better one
"To gain insight on how to put together the information & system to deliver it.

I already had a podcast, building classes and such was another beast.","Yes, Content Curator Helped!",It played out a road map for What my strengths were and how to begin packaging them.,Not sure right now.,Building Blocks of Content
To learn how to create content. I have ideas but wasn’t sure how to make a reality.,"Yes, Content Curator Helped!",Sue showed her process which has help me to have a start to harness in my idea; to get clarity.,I am not sure. I am learning what I need to help me focus.,I like content curator
I have been creating content since 2016 and speaking since 2015 but I am finally ready to take it full time! My only son graduates in two weeks and I needed a push!,"Yes, Content Curator Helped!",I’m only halfway through but yes! Getting organized,"My only negatives are with the platform! If I have to pause a video, it restarts it instead of holding my place!",I like the name!
I missed Sue's teaching style and her spirit...and I wanted her unique view of content creation.,"Yes, Content Curator Helped!","It gives me a systematic approach to it, though I have to admit I am behind on my homework.  But the good thing is that I can go back to it to refer.",I sometimes feel overwhelmed by all the information...,Teach Your Passion
How to expand my business and make more money,"Yes, Content Curator Helped!",Explained options and various sources of income,Not sure,
"I wanted to have clarity on the direction I wanted to go when it came to monetize work the I am already doing, understand how to market it and have the tools and motivation to give it a try and get moving.","Yes, Content Curator Helped!","Information, walking through steps, getting clarity on what I want to do and Sue is the Oprah of portrait photography, so motivating and inspiring with a dash of ass kicking that is needed.","I definitely fell behind and could not keep up with the homework while working my business.  I think that is more on me than the class.  The one thing that would be most helpful is understanding how to find good help with content creators (the guides, the workbooks, reference material etc.). Most business don't want to share where and how they do things, they act as if they do it themselves when it is obvious they do not.  I think some of this will be provided during this week and next at least I am hoping.  I also inquired several times about being part of the audience and never got that information or response.  Sometimes it is getting access to the people that help you feel supported that is the kick in the pants that propels you.  I also think that some people don't know what their ""superpower"" is, and they see what others are doing and follow along.  Maybe more help with pinpointing what people are good at and where they will be most successful.",I like the name you have....turn your passion into income
to learn how to affectively reach my target audience with content,"Yes, Content Curator Helped!",It is still helping...I am still coming up with new ideas and really connecting to my content since this course,nothing at all..I have learned so much and still rewatching videos and doing the homework and hear more and more with each watch,I wouldnt change the name...
Interested on learning new things from Sue,"Yes, Content Curator Helped!",Working through areas that I didn’t even know I need clarification to help me with all forms of business across the board.,Definitely more visuals and maybe  more explanation for the timeline I really got stuck there.,I think the name is perfect
I originally signed up for Content Curator to help me create some passive income streams.,"Yes, Content Curator Helped!","Content Curator helped me to fully see and own the value of the service I provide, identify product options, and it provided a step by step process.",A little more time. (I'm grateful for the time received. Thank you.),I like this name.
To create content structure for a new business venture,"Yes, Content Curator Helped!","Content Curator has given me all the meat, potatoes & veg. 
How to create long & short form content for social media as well as structuring timelines that lead to physical & digital product creation.
One stop Creation shop.",,I wouldn't rename it. You've already named the baby
I wanted to learn how to make good digital workshops for sale,"Yes, Content Curator Helped!","I got more confidence that I can do this, a lots of realizations in my mind about what is what …I love how Sue teaches that it is not about us but about them , it really helps to drop the ego …👍","maybe that when someone ask a question, that Sue repeats it instead of answering it immediately…",create your digital products- You can do this !
I saw the first episode out of curiosity and realised my potential to curate content. I just watched it because it was Sue's workshop and she had literally created my portrait business out of nothing.,"Yes, Content Curator Helped!",I have chapters of my book and basic content ready and I wasn't even planning to go down this path. But as soon as i realised my natural gift it started coming out effortlessly because of her framework.,"I have always struggled with marketing/getting leads on a larger scale in a way that it feels outside of my core potential. Getting seen or heard on social media when u have no following at all and as an introvert(not being too loud in messaging but meaningful) in midst of so many creators and algorithms changing all the time feels challenging and uphill. It feels like it takes way more time to be seen too. 

If the workshop covers that to make marketing as effortless as creating, while getting some results regularly that fuels my energy constantly, it would be greatly beneficial.",Content Curator feels like a good name. I feel like a tagline would explain more. I wasn't expecting that I would come up with content for a book or workshop out of this. I thought it was going to be about developing content for posting on social media.
"i build an educational platform now, and i learn from Sue since 2012, so I trust her educational system","Yes, Content Curator Helped!","For the first two weeks, that is strongly meaningful work, to come bake to essentials, to re-know WHY i do this, and all the value i bring to the world. And for me, having a step by step system/plan is very useful.","I take the time for now. I hope to find step by steps, specific topics about every content, fear points (like mine - technical stuff scares me...), and may be son exchanges with some other curators who has different caracter than Sue's, another kind of passion about projects, ... euh less action-persons... you see waht i mean ?! Thanks !","Value of content, Content for/of value... 👌🏻"
Yes. I needed help sorting passive income streams and getting them off paper and into reality.,"Yes, Content Curator Helped!","The thorough treatment of multiple content types, how to build them, and how to execute them is exactlywhat I was looking for. Plus, it's Sue, whose methodology and systems have worked for me in the photography world.",The ability to download the videos onto desktop/phone/tablet so that a wifi connection is not needed. It'd make remote learning a lot easier.,"Nothing brilliant comes to mind, but a subtitle addressing the soup to nuts approach to content curation might be useful, in terms of attracting new students/clients."
"I was at TPM for the first time this year, & really enjoyed Sue talking about the verticals in her business. This felt like a building block to add to that knowledge, and my gut instinct told me to sign up. I have been in & around photography and WPPI for 16 years and have always wanted to speak- but never felt confident enough or worthy enough. I didn’t know where to start. This was the course I didn’t know I needed.","Yes, Content Curator Helped!","I wasn’t entirely sure of what “content curator” would involve- at first I thought it was just a social media class or something- but being able to focus on the bones of what we know, and having solid steps to create has been a game changer. I am so excited to immerse myself in creating and mining all of the information I have contained within me.","I really liked the format. I didn’t have the full picture of what the course was about from the name- a few of my friends at WPPI thought it was a social media class also. In a way, I guess it could be but it was so much more than that. I also really appreciated having the course take place not in a Facebook group, because there are too many distractions on that platform. Over all, I really enjoyed this program and I guess the benchmark for its success will be how many of us implement it & show up teaching and creating. I know I am going to.","That is a tough one- because having been through the program now, content curation is actually the goal. Perhaps the name doesn’t have to change but it just may have a different subtitle or description."
I wanted to receive help and guidance in creating and launching a new area of business / revenue building.,"Yes, Content Curator Helped!","The first three weeks, deep diving into the 3x3, the areas of content that I know and how to see it translate into other areas of business / revenue.","Give more time between classes, especially as we begin to really shape, beta test and launch.  Sometimes, the ""gift of knowledge"" focuses at a much higher level than for someone truly coming this for the first time.","I wouldn't rename the couse per se, but add a tag line of what it is / does ...""Connecting the content you know to the people that need to grow from it"" or something like that."
I have multiple digital products and courses I want to create.,"Yes, Content Curator Helped!","Learning how to go step by step to build it out properly was key. Having content dropped out so I couldn’t watch it all at once was so helpful for my adhd. I was able to be in audience for week 4 and immediately booked flights to attend weeks 5 and 6 because it was so helpful. I love that there are so many taps and tracks and Sue teaches how to build out each one so they are in support of each other. Really, it was the bite sized structure I needed!",There were a couple of places where I got stuck on homework and it bottlenecked me moving to next stage. After speaking to other students I was able to sort it out.,I like the name!
"I already have the products and and materials I want to sell/teach. I joined to get more information about refining those products as well as distribution, marketing, and monetization.","Yes, Content Curator Helped!","Content Curator has given me so many new ideas about how to develop and distribute my content (ebooks, podcast, physical products), along with ways to refine them so they can be more appealing to my audience. While content curation is like starting a whole new business (in many cases it IS a new business), this course has really helped me wrap my arms around WHY I want to do this. 
It helped me realize that I previously put the cart before the horse in several of my product launches and it has given me a roadmap to do it ""right"" the next time. 
I think there are two levels of students: those that have already developed content and want to grow, and those that are learning about how content helps their existing business. This new version of the course has ALL the information needed for both types of students, but you have to know which one you are before you start to really get the most out of it. This is NOT a course for overnight success, but it WILL help you create content that feels the most authentic and connected to YOUR brand, which will then give it a better chance of success. I'm really glad I signed up!","Since I went through the beta, it's hard for me to answer without a level of bias. This new version is so much more comprehensive and laid out so well with the guides and homework. It's really impressive. 
If I were to make any changes at all, it would be to better define tracks for the different levels of student. Level 1 would be for students that are just getting started. (Weeks 1-3) 
Level 2 would be for students that are already speaking, or selling and want more ""inside baseball"" on how to succeed with what they have. (Weeks 4-6)
This could easily be divided into two separate courses like a 101 and a masterclass.
If I came into this without having gone through the beta, I would have felt really overwhelmed at the pace of the material. 
What I've seen are students that want to jump ahead and just get to the monetization without having gone through the necessary steps to internalize the What and Why of their content. They want the How right now, and that's not how this works. That part of the process takes a LOT longer than 6 weeks to do right and I think that point could be emphasized more to help manage expectations.
But the community message board has been an awesome addition in letting the students help each other.
I really do think everything you need to succeed is in this course if you take your time and do the work. You all did an amazing job!","""Creator's Blueprint"" , ""Digital Product Masterclass"" , ""Elevate Your Influence"", ""Platform Perfect: Business Content That Sells"""
I have wanted to level up my game and expand my income potential but never knew exactly where to start.,"Yes, Content Curator Helped!",I am working my way back through each video and filling out the homework as I go. So far content curator is amazing at walking through the steps not only to create but to deep dive into what I really want. I am so excited for what the future holds for me! This was exactly the steps and kick in the butt I needed.,"Some parts of the homework I am not sure I exactly understand what it is asking me to do or decide. The ethos is one of them. I also started the workbook for all the things I want to create but quickly decided it works better if I use it for only one at a time, but sometimes I feel like I am back to listing all the things. Not sure how, but would be awesome if it could work for multiple genres of products/speaking/digitals while also asking for whole life goals. It is great, though, to have a tool that we can follow for implementing new exciting avenues for success.",I actually love content curator - it perfectly describes the course and what it helps us through.
1) because it’s Sue Bryce and I’ve been out of the photography realm for about 4 years but she was one of the most massive influences in my life back from the first Creative Live…and 2) because the timing couldn’t be any better. The course description literally spoke to my soul to a tee for where I was at and what I was feeling. And I loved the fact she crossed over applying to other businesses (I have now been an ADHD coach since 2020 working under someone else but I have so so much to give and ready to fly on my own. Just not sure where to start and how to get it all out of my head into intentional content),"Yes, Content Curator Helped!","Content Curator was EXACTLY what I needed at the exact time. I feel like Sue is speaking directly to me. (Even right down to me not wanting to use my name as my personal brand and she gave me the permission to do it…or she gave me the courage to give myself permission, really) The way she delivers content keeps me captivated, fires me up and gives me motivation. It blows my mind how many parallels already exist (like the way she brain dumps/mind maps that way. I wish I could show her my notes from over the years!) Those things give me validation to what I’m already doing. Or naming things I didn’t have a name for (I spend a lot of time in the Multiverse!) Then the fresh ideas, where I am learning something new feel deeply aligned.  I didn’t have a way to get the content out of me and now I’ve been driving around thinking about my timelines and my story and getting it engrained in me. 
I think the most important thing that I’m taking away is ACTION",More peer connection - I’m not sure if this is logistically feasible but maybe small accountability groups/co working sessions. A place where we can see others “face to face”. (ie. Zoom) I find verbal processing always brings out so much and listening to others. I love that Sue is so engaging and speaking to me. I feel the disconnect from others though.Something above and beyond the live chat/Skool. It would be amazing to have sub-coaches/mentors (um I would love to be one hehe). Some way that fosters more connection with others who are doing the same work. Oh! And also a way that saves progress on the video. When you exit and come back it doesn’t save. That’s minor but thought I would mention it :),Hmmm have to think on that
"I am ready to start teaching online, hosting workshops and speaking. I signed up for this because Sue taught me the steps to creating a profitable, sustainable portrait studio so I am now turning to her to teach me the steps to content creation and teaching online.","Yes, Content Curator Helped!",The timeline exercise has been so helpful and I have a better sense of it now. The homework is helping me map things out. Sue is also so inspirational and her way has put a fire under me to create. I was in the Beta test but this round is hitting home more for me and making a lot more sense to me. Maybe it's that I really ready this time.  But the teachings + the homework + the live coaching is really helping me formulate what I want to create.,This time around has really been great.,Becoming an Educator
"I had a lot of heart lead content, my story and sharing my voice authentically. but I did not know how to convert myself into a professional, a leader in my field. I also have a lot of old content.","Yes, Content Curator Helped!",This course helped me connect my heart to my experience to a sellable product.,"clear step by step instructions on what to ""complete"" before watching the next video. I created a forum post about this.",Content Creator: Turn your story into a product
I want to create multiple income streams without physically being in front t of my client (like with photography),"Yes, Content Curator Helped!","First of all, Sue Bryce is so inspiring and delivers the material so well. Second, I am connected with other creatives through this course and building a tribe where we all can support each other on this content creation journey. Lastly, I have the feeling that I can do it with the help of this course. I am excited!!!",I think keeping the courses and community available to us indefinitely would help us very much!,"I like the name as it is, drew me in and wanted to sign up"
To give me direction and help me get clarity abotu the steps I need to take in my content creation journey.,"Yes, Content Curator Helped!","Im only half-way through, but I love listening to Sue speak, and doing the homework is helping me get the content out of my head and onto paper.",I love it how it is. It resonates with me.,I think the name is good
"I signed up in 2022 to the beta test course  (which I didn’t actually realise was a beta group) because I knew I wanted to move into coaching/training/. Whatever Sue does is off incredible value (info, motivation and money wise) so it was a no brainer to sign up to this new version.
Was it what I was hoping for? No… I thought it would be a much more practical course showing me what to do and exact steps to do it. Was I disappointed about this? No…it has taken me on a better path. 
This latest course is equally as good as the beta one….I am saying this from a photographer who has followed Sue for years point of view…Sometimes I think I find myself thinking that if I was a reiki healer or a real estate agent, who had signed up, never having heard of Sue, I might have zero clue what was going on. But I am loving it!","Yes, Content Curator Helped!","Yes it has helped massively. 

In terms of helping, Sue has given me so many tips and great bits of advice and things to think about.  She has motivated me and inspired me. I feel like I could be on that stage at TPM…in fact I'd love to do a course for TPM. 
I think that unlike other courses (including SBE) the course feels more like university than high-school type learning/teaching.
In high-school (is that what it’s called in USA?….for teenagers) you get spoon-fed information and led down a specific “do this, then this, and now this” path…..at Uni you are given pointers and have to use your own initiative and learn more for yourself. It's about self development and growth. 
I love how Sue is so blunt (even if it’s an answer to my question) there’s no sugar coating and pandering to bloody stupid questions. And she’s hilarious","Really very few changes.... I can't think of any right now....I think there's a need for more of a step by step learning on how to create some of the materials and systems that we need to take things forward. If you are wanting to attract from all areas of businesses then so many people will have no idea how to make something in Canva or how to physically create the content they need. That would be useful for them. I'm not meaning something delivered by Sue. Maybe point them to something like Creative Live, or knowing you, Craig, you are building this platform already. Like SBE for content curators, that have no clue how to make a reel /pdf/set up an online store to sell downloads/do an email list/ write a newsletter/lead generator video. I know quite a bit, as I'm a photographer and have made my own website and always done everything myself, but I'm  still spending hours down a rabbit hole, learning how to make all the elements I need.  So changes to this course...no...but there's a whole other learning system out there that's needed.",I like the name ----I think it's easy to confuse Content Curator with Content Creator (which is what I did if you read my previous answers. I only now realised the difference ) So set up another course called Content Creator and sell it along side this one
I signed up for this workshop because I wanted to learn how to create content to sell.,"Yes, Content Curator Helped!","This class really helped me get my mind organized, allowed me to get creative without feeling rushed, and showed me where I missed a few steps. I am so grateful for this complete comprehensive course. Thank you Sue!",I think having a live zoom meeting for the participants as a drop in once a week as a study group would be awesome. Not necessarily having Sue in the group but a way we can be walked through where we are stuck.,I like the name it already has.
"I am self-employed, struggle to consider myself an entrepreneur, because I work for companies as freelancer. I so desperately want to create online courses around the topic that matters to me most: communication","Yes, Content Curator Helped!","I got valuable marketing insights and how to create my 3x3. The workbooks are valuable for me. I am still at the very beginning, because I could not keep up with the speed you were delivering the content. I also became aware that I do not like to create this e-commerce and setting up the courses (like creating the content though) - so I will have to delegate. Thank you Sue Bryce - wished I could meet you in person.",An entire Question/Answer session with questions sent upfront for Sue to prepare. Would love that.,Awareness Creator
"Because I am in the process of making my first online course, and I want to make it a good one!","Yes, Content Curator Helped!",By giving structure and developing a solid content system. Also: having access to the knowledge on what type of videos worked well with Sue's experience is great.,"Not sure. I haven't finished the entire course yet, so it would not be fair to ask to add certain stuff that might already be in the course, like a little bit about how to do the actual filming of the course.",Master your Message: from idea to a strong message delivery.
Creative ideas to market and showcase my digital products,"Yes, Content Curator Helped!",Sure is the best at “no excuses” coaching.  She helped push me to get creative with my why and my messaging,"As much as I love seeing Sue’s beautiful smile (and the pink shirt oddly kept my attention to the screen and not just listening while multitasking), I would recommend having a split screen to follow along with images of the work book pdf that’s available so watching and taking immediate notes on the proper pdf page would be helpful",I think it’s named perfectly for what it provides
