"Quick question, why did you originally sign up for *Content Curator*? ",And did *Content Curator* help with the reason you initial signed up?,I'm glad it helped! Can you describe how *Content Curator* helped?,"Last Question: What changes could make *Content Curator* work better for you, or for future participants?","*Bonus Brainstorm:* If we renamed this course, what's an idea for a name that you think best matches what you got out of this?"
I joined because I am a huge fan of Sue and I was excited to learn from her about content creation and curation.,"No, Content Curator Didn't Help",,"I kind of gave up after two weeks because I felt I hadn't learned anything and that may be to do with my style of learning. I learn by watching and doing (which was how I believed Sue taught), not listening. And this course seemed to be all about just listening.",
I wanted to start a business.,"No, Content Curator Didn't Help",,I need specifics. But I am sure it’s my problem.,?
I thought it would help me expand and pivot my existing book brand to something bigger. I think it might but I haven't finished the course yet so can't give you a definitive answer.,Not sure  yet,,"I think the first lesson needs to be split into 2 - people certainly seemed to have issues with identifying their brand and working out who they are and who they are talking to. I think that needs expanding. It's a meaty course and there's a lot of work in it as I would expect from Sue. I think branding like this takes time, it evolves in people and doesn't necessarily pop into their heads when they are going through a workbook. It percolates and comes to you at random times :) In a way it's a lot to go over in 6 weeks.","I like Content Curator, it does what it says on the tin."
"I was hoping to have a resource page for different platforms best used for creators and entrepreneurs to create marketing, newsletters, and eCommerce to sell digital content of my workshop for photo editing software.",Pdf worksheets stuff was great but didnt need the inspirational stuff.,,"Provide links or have a resource page for different platforms best used for creators and entrepreneurs to create, market, newsletter, eCommerce to sell digital content. I'm not talking about IG or Tiktok platforms to set up the e-commerce content.",above my pay grade lol. Thanks for the work.
To help learn what to do most efficiently to market my art,Some ideas but public speaking? Nah,,"Software used, timing of posts, style of posts, selling on Pinterest, product/merch design. More nuts and bolts rather than principals of speaking outloud.",Be Like Sue Not You
To organize my thoughts and learn the systems to create courses,Some what,,Maybe more behind the scenes of Sue showing her systems specially the POS’s she has tried and decided on as well as course platforms.,Defining/redefining your personal brand.
Because my personal content is really undefined. I feel messy in my business overall and want to understand what my message is. I do a lot of different things - how do I combine it and define my brand?,Somewhat - I'm taking away a lot of info so far.,,"maybe more ""homework"" to let us do more thinking and more work on our own selves",It seems like it's more of a branding message than content ?
"I have followed Sue since the early days on Creative Live and have watched her grow.  I am currently lost.  Following a bout of covid in 2022, I had to resign from work that was very important to me to focus on trying to regain my health.  I signed up for this course in the hope that it would give me a sense of direction.",Somewhat.,,I’m not sure.  Sue has incredible energy and the workbooks were very well done.  My starting point might be a little further back.,Creative Compass
"I thought I would learn how to conceptualize, contextualize and personalize content for marketing my business",sort of. In some ways it took me way beyond what I thought I'd be learning. In others it was very much about building out a new leg of my business and seems focused on very specific avenues for revenue with heavy emphasis on speaking so it seems a little out of the range I thought we'd be in. It's also moving very fast and is less directly involved with Sue than I expected. The coaching calls are not personal to our work really so that's not what I was expecting.,,I think the first invitation I got on instagram gave me a different impression about what the class was going to be so maybe check the consistency of the messaging? It would be great if we could engage a little more with our projects and questions. Grouping questions through the producer on set is a bit ... underwhelming for all of us. Feels easy to be left behind and lost in the current platform.,"Evolve your brand, Expand your brand, Explore your potential"
"Firstly, I love Sue Bryce and came into the Portrait System only relatively recently and often wonder what my trajectory would be like if I had of been one of the early ones so the idea of getting in at the start of Content Creator was super appealing. Secondly I thought I really wanted to look at creating an online platform for beginner photographers, expanding my boutique photography workshops and somehow monetising my beginner photography education.","To be honest, the biggest thing that Content Curator has helped me with is making me realising that the reason I signed up for Content Curator is not something I thought I wanted to purse and clarifying that what I want to do is to keep on taking photographs and mastering my craft and what I want to monetise is my poetry work!",,"There is a part of me that wants to say that it really needs to be highlighted that Content Curator is not for someone who is at the beginning of their journey. I have realised that by focusing on what I want to do that I still need to really build up my content (not content to sell but content to increase followers, not sure of wording), know how and direction. But then I would not have realised that I needed to asses my direction and the honesty of what made my eyes light up without the first couple of weeks content so perhaps it is good for beginners in that it gives you a sense of direction and purpose and you can there is stuff for your down the track. I am still devouring the videos and have watched week 1 and 2 at least 3 times each and I suspect content Curator is for me possibly down the track so super handy and helpful. What it has done is really made me focus on what I want to do and really be honest with what I don't want to do.  

To be honest I am not a fan of Skool and possibly in the minority there but don't find it very user friendly and gave up using that. Love or loathe FB groups they have nailed the forum process in terms of being user-friendly, being able to look at all contributions etc and tne most efficient group forums. As I said I am possibly in the minority there but I am a fan of social media due to it being a free tool that has helped my business inordinately and really didn't warm to skool at all as found it pretty clunky in comparison. 

Videos are awesome. Lives are great. Content is great.","I am not entirely sure if Content Curation is the best name for this course but you guys are the bloody experts and have nailed everything else you have done so sure that it is pretty spot on and it might be more that I am possibly not at the right spot to gain full advantage of it but I am certainly going to access in future and it has given me a great deal of clarity about the fact that I was not actually heading in the direction I though I was heading. So I am not sure if the course sums it up or I thought I was enrolling in something more extensive for all types of content. So in a long round about way, I am not sure if Content Curator is the best even though Sue is obviously the master at Content Curation but not sure if it sums up this course."
"I thought it would help expand my photography business, give insights as to how to retrieve more clients and dabble more into curating content for brands/commercial work.",Yes and no. I think there’s value to what is being talked about. Clarity and the roadmaps certainly are key. No in the sense that it is very broad and I thought there would be more specific or one on one for seeking answers (perhaps another educator) to my specific situation.,,"I think should I want to further explore, podcasts, film, speaker or educator paths I will refer to this information. I definitely see myself becoming a speaker in the future however at this time I’m more interested in evolving my photography business. Shooting boudoir clients and doing commercial work.",I think the name you have is quite clever and content creator is overused. Content Curator on the other hand let you know you will create content but more importantly you will be selective and intentional with what you put out and why. Focusing on who you’re marketing to and what they can get out of it while simultaneously including yourself in an effective way (much like how Sue rolls). Off the top of my head I keep thinking what I’m getting here is a peek behind the curtain “How It’s Made” but I think Content Curator is more on brand and eloquent.
