Zoom Meeting 
Tue, Jul 30, 2024

0:03 - Craig Swanson Boom Hello, sir.
34:51 - Craig Swanson Oh, and actually, you know what? I would repurpose this and also use this same one and put it on LinkedIn for EO. And it would be your pitch for EO members to join us.

35:02 - Jim Huffman Oh, cool. OK.

35:03 - Unidentified Speaker Yeah.

35:04 - Craig Swanson So that's a good double hit. And it's basically going to be you saying, hey, if you're in Seattle, Entrepreneurs Organization is offering a special growth marketing clinic with me, Jim Huffman. This is for business owners that have problem X, problem Y, problem Z. And we are going to be at the Columbia Tower Club looking over all of Seattle is totally beautiful. Come for lunch and learning and figure out how to 10x your business. Yippee-ki-yay.

35:42 - Jim Huffman Honestly, I'm so glad we have the AI. I think that's the script. Give that to me and I can record there's one we could do that's a little just me talking There's another one might be better for ads where we can have my video editor when it talks about Columbia Tower Club It cuts to like the beautiful Columbia Tower Club and we can use some things and we could test both of those I Think it'd be great.

36:05 - Craig Swanson And and okay, so if we did that, all right, so let me just let's just think this through I We can do this one of two ways.

36:25 - Craig Swanson I actually like testing that. Let's see if we can test selling the event. Let's try selling the event. And then when we're selling the event, we can either drop them right here on Eventbrite, or we can drop them on something like this, a modified version of this that has the details about Eventbrite with no pricing or anything else and do the email capture.

36:44 - Jim Huffman Yeah, it would be nice to use that to build the database just so, because I feel like that's an easier conversion of it. Learnings, but yeah.

36:53 - Craig Swanson And we can also give them the why isn't your company growing PDF because that is very much in alignment with what you're gonna be teaching.

37:00 - Jim Huffman Yeah, that's a very good point, yeah.

37:04 - Craig Swanson And you know what, we have, there's a lot of, there's a lot of things we have not done at all, just largely because we're still kind of like, we're learning, we're figuring out, and there's not, you know, there's not so many clicks through right now that like, we're trying to figure out what to maximize, but Right now, I'm looking for anything that people are going to click on. If they do click on it, then we can start looking at other things. We can start looking at like, you know, we could, we could throw in, we get AB tests, throwing them to this clinic versus an upsell to like something else. I mean, there's things you can do if you've got a low of people.

37:34 - Jim Huffman Yeah. Yeah. And I think it's really figuring on top of the funnel, what, what engages, what works.

37:41 - Craig Swanson Exactly. And I think we can also, yeah, so I will give you, I'll give you an ad for the, I'll give you some ad copy that you can totally riff off and go a different direction, uh, for the growth marketing clinic course, as well as, uh, for the, why isn't, why isn't your company growing free PDFs?

38:04 - Unidentified Speaker Yeah.

38:04 - Jim Huffman So basically two ads, we record those, um, Do you want to give me a third for the sold-out playbook? So we just have that potentially or no?

38:15 - Craig Swanson I don't think we're doing anything right now. We're not actually selling the sold-out playbook. We don't have anything to follow up with the sold-out playbook.

38:22 - Jim Huffman Yeah, true.

38:23 - Jim Huffman The only thing we've really got would be calling this the sold-out playbook.

38:28 - Jim Huffman Yeah. And to go back to that conversation, I feel like for EO, definitely what's blocking growth is the right path. The sold-out playbook might be better for those like up-and-coming founders that are like, oh, I want to launch a brand. Oh, what do I do? It could be have a bigger TAM or addressable. You know what?

38:51 - Craig Swanson Why don't we record? I'll get you in for the sold-out playbook. Okay. And then we can, I mean, even if we don't have something to offer, we can like right now the problem is the problem is a click through. The problem is the offer. Yeah. Yeah. So if, if, if we get like 20 people, if we get a bunch of people clicking through to a page that doesn't match the offer, we will see that and then we can go fix it.

39:13 - Jim Huffman Yeah, exactly. It's like, oh, that's where we directionally where we should go. Okay. I'm game for that.

39:18 - Unidentified Speaker Cool.

39:19 - Craig Swanson So I will do that. I'll do that today. I'll do that. I'll promise it by tomorrow morning. But like, basically, I'll kind of do it today. Unless maybe actually, what is, do you remember the, I'll do it and send it to you.

39:39 - Jim Huffman Okay. Very cool. So yeah, I should be able to record either tomorrow or Thursday. So right now I have some open space on Thursday. We'll see if that holds.

39:51 - Craig Swanson By the way, just for you, do you notice when you said I'll record for Thursday, you kind of like leaned in?

39:56 - Unidentified Speaker Yeah.

39:58 - Craig Swanson You were kind of adjusting yourself and your head got bigger. Just this is me, just, this is just coaching. I don't know if you've done a bunch of it, but like when you do that, even if it's intentional, basically you're leaning in. It's like these unconscious gestures we do when we are talking to somebody that's either us just moving our body or just kind of like leaning in or like whatever else that draws people in. If you can add that rather than you just like sitting there statically, like, so interesting.

40:24 - Jim Huffman Yeah. Yeah. Should I record it sitting here or do you want me to do it on my phone and go vertical with it?

40:33 - Craig Swanson I think your record is sitting there. Okay. And I think, I'm trying to think here. You might do a couple recordings, like what I would probably do, are you on an, do you have a, what do you want? Do you have like an iMac?

40:47 - Jim Huffman Yeah, I'm on a Mac. I could, or yeah, it's a Mac mini, but then I have HP and then I have a Logitech camera and then a Yeti microphone.

40:58 - Craig Swanson Okay, cool. So I would put the, I put the script as close to the iFrame, as close to where the camera is going to be seeing you as possible. And then, we're going to riff a little bit, but basically, I kind of want you to do this. I kind of want you to start standing up, and basically kind of go, sit in like lean in like like kind of like it's this motion of like leaning into a script but you can't you need to get you need to be verbally saying something in the first couple seconds so it really is kind of like this you just kind of start here and you lean in just start talking to people um am I leaning in the whole

41:36 - Jim Huffman time I'm talking or do I then lean?

41:39 - Craig Swanson Oh, so I want to see the lean. So that's the thing. It's like right now you're like this and then you lean in and that that motion will will like that change of me not talking to be talking. That's what I want. That's what I want in the first couple of seconds.

41:53 - Jim Huffman Cool. I'm writing this down. OK.

41:59 - Craig Swanson And actually in my case, if I were going to do it, I'm actually, as we're doing this, I would have to rearrange myself because my, my mic is getting in the way. Like I'd have to figure out like, but there's some type of thing you want some type of like, yeah.

42:13 - Jim Huffman Yeah. Then, yeah, let me play with that. Maybe I can give you some options, but that makes total sense. As opposed to just start and I'm like this statue right here.

42:24 - Craig Swanson Exactly. And it's not about the information. It's not about the information. And there is this really wonderful, you have such an endearing way of like talking with human beings that I, that my guess kind of like evaporates when you're talking for a recording where you're trying to do like the, where you're focused on the words. I would rather have you stammering a little bit and like, like, you know, like, like that, like that, that where you pop back and you're laughing. Yeah. If you, if you, if, if there was a moment of you stopping, popping back and laughing, but the problem is it'll probably look like you're acting badly.

43:00 - Jim Huffman You know, it's so funny. My wife, we always joke, I do this course for LinkedIn and read a script and that was horrible. It was the most like miserable experience of my life recording it for them. But when I'm impromptu, They're like, oh, it's that's it. That's it. But then it was painful. So I kind of hear you there to have the script in mind, but I won't read it like it's the Ten Commandments.

